CMS SCHEDULE,YEAR,HCPCS,GEOGRAPHY,MOD,EFF_DATE,SHORTDESC,FILE_NAME,NF RATE,F RATE
3. LAB,2025,0063U,NATIONAL,,2025-01-01,Neuro autism 32 amines alg,CLFS 2025 Q1V1.csv,750.0,750.0
3. LAB,2025,0064U,NATIONAL,,2025-01-01,Antb tp total&rpr ia qual,CLFS 2025 Q1V1.csv,31.33,31.33
3. LAB,2025,0065U,NATIONAL,,2025-01-01,Syfls tst nontreponemal antb,CLFS 2025 Q1V1.csv,18.09,18.09
3. LAB,2025,0066U,NATIONAL,,2025-01-01,Pamg-1 ia cervico-vag fluid,CLFS 2025 Q1V1.csv,15.29,15.29
3. LAB,2025,0067U,NATIONAL,,2025-01-01,Onc brst imhchem prfl 4 bmrk,CLFS 2025 Q1V1.csv,1897.0,1897.0
3. LAB,2025,0068U,NATIONAL,,2025-01-01,Candida species pnl amp prb,CLFS 2025 Q1V1.csv,142.63,142.63
3. LAB,2025,0069U,NATIONAL,,2025-01-01,Onc clrct microrna mir-31-3p,CLFS 2025 Q1V1.csv,380.0,380.0
3. LAB,2025,0070U,NATIONAL,,2025-01-01,Cyp2d6 gen com&slct rar vrnt,CLFS 2025 Q1V1.csv,676.37,676.37
3. LAB,2025,0071U,NATIONAL,,2025-01-01,Cyp2d6 full gene sequence,CLFS 2025 Q1V1.csv,600.0,600.0
3. LAB,2025,0072U,NATIONAL,,2025-01-01,Cyp2d6 gen cyp2d6-2d7 hybrid,CLFS 2025 Q1V1.csv,450.91,450.91
3. LAB,2025,0073U,NATIONAL,,2025-01-01,Cyp2d6 gen cyp2d7-2d6 hybrid,CLFS 2025 Q1V1.csv,450.91,450.91
3. LAB,2025,0074U,NATIONAL,,2025-01-01,Cyp2d6 nonduplicated gene,CLFS 2025 Q1V1.csv,450.91,450.91
3. LAB,2025,0075U,NATIONAL,,2025-01-01,Cyp2d6 5' gene dup/mlt,CLFS 2025 Q1V1.csv,450.91,450.91
3. LAB,2025,0076U,NATIONAL,,2025-01-01,Cyp2d6 3' gene dup/mlt,CLFS 2025 Q1V1.csv,450.91,450.91
3. LAB,2025,0077U,NATIONAL,,2025-01-01,Ig paraprotein qual bld/ur,CLFS 2025 Q1V1.csv,43.43,43.43
3. LAB,2025,0078U,NATIONAL,,2025-01-01,Pain mgt opi use gnotyp pnl,CLFS 2025 Q1V1.csv,450.91,450.91
3. LAB,2025,0080U,NATIONAL,,2025-01-01,Onc lng 5 clin rsk factr alg,CLFS 2025 Q1V1.csv,3520.0,3520.0
3. LAB,2025,0082U,NATIONAL,,2025-01-01,Rx test def 90+ rx/sbsts ur,CLFS 2025 Q1V1.csv,246.92,246.92
3. LAB,2025,0083U,NATIONAL,,2025-01-01,Onc rspse chemo cntrst tomog,CLFS 2025 Q1V1.csv,167.35,167.35
3. LAB,2025,0084U,NATIONAL,,2025-01-01,Rbc dna gnotyp 10 bld groups,CLFS 2025 Q1V1.csv,720.0,720.0
3. LAB,2025,0086U,NATIONAL,,2025-01-01,Nfct ds bact&fng org id 6+,CLFS 2025 Q1V1.csv,200.0,200.0
3. LAB,2025,0087U,NATIONAL,,2025-01-01,Crd hrt trnspl mrna 1283 gen,CLFS 2025 Q1V1.csv,3159.42,3159.42
3. LAB,2025,0088U,NATIONAL,,2025-01-01,Trnsplj kdn algrft rej 1494,CLFS 2025 Q1V1.csv,3159.42,3159.42
3. LAB,2025,0089U,NATIONAL,,2025-01-01,Onc mlnma prame & linc00518,CLFS 2025 Q1V1.csv,760.0,760.0
3. LAB,2025,0090U,NATIONAL,,2025-01-01,Onc cutan mlnma mrna 23 gene,CLFS 2025 Q1V1.csv,1950.0,1950.0
3. LAB,2025,0092U,NATIONAL,,2025-01-01,Onc lng 3 prtn bmrk plsm alg,CLFS 2025 Q1V1.csv,2488.0,2488.0
3. LAB,2025,0093U,NATIONAL,,2025-01-01,Rx mntr 65 com drugs urine,CLFS 2025 Q1V1.csv,62.14,62.14
3. LAB,2025,0094U,NATIONAL,,2025-01-01,Genome rapid sequence alys,CLFS 2025 Q1V1.csv,7582.2,7582.2
3. LAB,2025,0095U,NATIONAL,,2025-01-01,Ee 2 prtn bmrk elisa est,CLFS 2025 Q1V1.csv,771.98,771.98
3. LAB,2025,0096U,NATIONAL,,2025-01-01,Hpv hi risk types male urine,CLFS 2025 Q1V1.csv,35.09,35.09
3. LAB,2025,0101U,NATIONAL,,2025-01-01,Hered colon ca do 15 genes,CLFS 2025 Q1V1.csv,1743.95,1743.95
3. LAB,2025,0102U,NATIONAL,,2025-01-01,Hered brst ca rltd do 17 gen,CLFS 2025 Q1V1.csv,1303.95,1303.95
3. LAB,2025,0103U,NATIONAL,,2025-01-01,Hered ova ca pnl 24 genes,CLFS 2025 Q1V1.csv,1743.95,1743.95
3. LAB,2025,0105U,NATIONAL,,2025-01-01,Neph ckd mult eclia tum nec,CLFS 2025 Q1V1.csv,950.0,950.0
3. LAB,2025,0106U,NATIONAL,,2025-01-01,Gstr emptg 7 timed brth spec,CLFS 2025 Q1V1.csv,874.49,874.49
3. LAB,2025,0107U,NATIONAL,,2025-01-01,C diff tox ag detcj ia stool,CLFS 2025 Q1V1.csv,16.0,16.0
3. LAB,2025,0108U,NATIONAL,,2025-01-01,Gi barrett esoph 9 prtn bmrk,CLFS 2025 Q1V1.csv,4950.0,4950.0
3. LAB,2025,0109U,NATIONAL,,2025-01-01,Id aspergillus dna 4 species,CLFS 2025 Q1V1.csv,142.63,142.63
3. LAB,2025,0110U,NATIONAL,,2025-01-01,Rx mntr 1+oral onc rx&sbsts,CLFS 2025 Q1V1.csv,27.11,27.11
3. LAB,2025,0111U,NATIONAL,,2025-01-01,Onc colon ca kras&nras alys,CLFS 2025 Q1V1.csv,682.29,682.29
3. LAB,2025,0112U,NATIONAL,,2025-01-01,Iadi 16s&18s rrna genes,CLFS 2025 Q1V1.csv,356.13,356.13
3. LAB,2025,0113U,NATIONAL,,2025-01-01,Onc prst8 pca3&tmprss2-erg,CLFS 2025 Q1V1.csv,760.0,760.0
3. LAB,2025,0114U,NATIONAL,,2025-01-01,Gi barretts esoph vim&ccna1,CLFS 2025 Q1V1.csv,1938.01,1938.01
3. LAB,2025,0115U,NATIONAL,,2025-01-01,Respir iadna 18 viral&2 bact,CLFS 2025 Q1V1.csv,275.35,275.35
3. LAB,2025,0116U,NATIONAL,,2025-01-01,Rx mntr nzm ia 35+oral flu,CLFS 2025 Q1V1.csv,246.92,246.92
3. LAB,2025,0117U,NATIONAL,,2025-01-01,Pain mgmt 11 endogenous anal,CLFS 2025 Q1V1.csv,840.65,840.65
3. LAB,2025,0118U,NATIONAL,,2025-01-01,Trnsplj don-drv cll-fr dna,CLFS 2025 Q1V1.csv,2753.25,2753.25
3. LAB,2025,0119U,NATIONAL,,2025-01-01,Crd ceramides liq chrom plsm,CLFS 2025 Q1V1.csv,83.76,83.76
3. LAB,2025,0120U,NATIONAL,,2025-01-01,Onc b cll lymphm mrna 58 gen,CLFS 2025 Q1V1.csv,2510.21,2510.21
3. LAB,2025,0121U,NATIONAL,,2025-01-01,Sc dis vcam-1 whole blood,CLFS 2025 Q1V1.csv,509.2,509.2
3. LAB,2025,0122U,NATIONAL,,2025-01-01,Sc dis p-selectin whl blood,CLFS 2025 Q1V1.csv,526.23,526.23
3. LAB,2025,0123U,NATIONAL,,2025-01-01,Mchnl fragility rbc prflg,CLFS 2025 Q1V1.csv,357.63,357.63
3. LAB,2025,0129U,NATIONAL,,2025-01-01,Hered brst ca rltd do panel,CLFS 2025 Q1V1.csv,1303.95,1303.95
3. LAB,2025,0130U,NATIONAL,,2025-01-01,Hered colon ca do mrna pnl,CLFS 2025 Q1V1.csv,584.9,584.9
3. LAB,2025,0131U,NATIONAL,,2025-01-01,Hered brst ca rltd do pnl 13,CLFS 2025 Q1V1.csv,710.0,710.0
3. LAB,2025,0132U,NATIONAL,,2025-01-01,Hered ova ca rltd do pnl 17,CLFS 2025 Q1V1.csv,741.64,741.64
3. LAB,2025,0133U,NATIONAL,,2025-01-01,Hered prst8 ca rltd do 11,CLFS 2025 Q1V1.csv,690.29,690.29
3. LAB,2025,0134U,NATIONAL,,2025-01-01,Hered pan ca mrna pnl 18 gen,CLFS 2025 Q1V1.csv,748.39,748.39
3. LAB,2025,0135U,NATIONAL,,2025-01-01,Hered gyn ca mrna pnl 12 gen,CLFS 2025 Q1V1.csv,700.56,700.56
3. LAB,2025,0136U,NATIONAL,,2025-01-01,Atm mrna seq alys,CLFS 2025 Q1V1.csv,407.43,407.43
3. LAB,2025,0137U,NATIONAL,,2025-01-01,Palb2 mrna seq alys,CLFS 2025 Q1V1.csv,282.88,282.88
3. LAB,2025,0138U,NATIONAL,,2025-01-01,Brca1 brca2 mrna seq alys,CLFS 2025 Q1V1.csv,468.33,468.33
3. LAB,2025,0140U,NATIONAL,,2025-01-01,Nfct ds fungi dna 15 trgt,CLFS 2025 Q1V1.csv,156.75,156.75
3. LAB,2025,0141U,NATIONAL,,2025-01-01,Nfct ds bact&fng gram pos,CLFS 2025 Q1V1.csv,156.75,156.75
3. LAB,2025,0142U,NATIONAL,,2025-01-01,Nfct ds bact&fng gram neg,CLFS 2025 Q1V1.csv,156.75,156.75
3. LAB,2025,0152U,NATIONAL,,2025-01-01,Nfct ds dna untrgt ngnrj seq,CLFS 2025 Q1V1.csv,2126.2,2126.2
3. LAB,2025,0153U,NATIONAL,,2025-01-01,Onc breast mrna 101 genes,CLFS 2025 Q1V1.csv,3159.42,3159.42
3. LAB,2025,0154U,NATIONAL,,2025-01-01,Onc urthl ca rna fgfr3 gene,CLFS 2025 Q1V1.csv,482.14,482.14
3. LAB,2025,0155U,NATIONAL,,2025-01-01,Onc brst ca dna pik3ca gene,CLFS 2025 Q1V1.csv,274.83,274.83
3. LAB,2025,0156U,NATIONAL,,2025-01-01,Copy number sequence alys,CLFS 2025 Q1V1.csv,1740.0,1740.0
3. LAB,2025,0157U,NATIONAL,,2025-01-01,Apc mrna seq alys,CLFS 2025 Q1V1.csv,282.88,282.88
3. LAB,2025,0158U,NATIONAL,,2025-01-01,Mlh1 mrna seq alys,CLFS 2025 Q1V1.csv,282.88,282.88
3. LAB,2025,0159U,NATIONAL,,2025-01-01,Msh2 mrna seq alys,CLFS 2025 Q1V1.csv,282.88,282.88
3. LAB,2025,0160U,NATIONAL,,2025-01-01,Msh6 mrna seq alys,CLFS 2025 Q1V1.csv,282.88,282.88
3. LAB,2025,0161U,NATIONAL,,2025-01-01,Pms2 mrna seq alys,CLFS 2025 Q1V1.csv,282.88,282.88
3. LAB,2025,0162U,NATIONAL,,2025-01-01,Hered colon ca trgt mrna pnl,CLFS 2025 Q1V1.csv,486.54,486.54
3. LAB,2025,0163U,NATIONAL,,2025-01-01,Onc clrct scr 3 prtn alg,CLFS 2025 Q1V1.csv,390.75,390.75
3. LAB,2025,0164U,NATIONAL,,2025-01-01,Gi ibs ia anti-cdtb&vinculin,CLFS 2025 Q1V1.csv,112.02,112.02
3. LAB,2025,0165U,NATIONAL,,2025-01-01,Peanut allg asmt epi,CLFS 2025 Q1V1.csv,463.76,463.76
3. LAB,2025,0166U,NATIONAL,,2025-01-01,Liver ds 10 biochem asy srm,CLFS 2025 Q1V1.csv,503.4,503.4
3. LAB,2025,0169U,NATIONAL,,2025-01-01,Nudt15&tpmt gene com vrnt,CLFS 2025 Q1V1.csv,466.17,466.17
3. LAB,2025,0170U,NATIONAL,,2025-01-01,Neuro asd rna next gen seq,CLFS 2025 Q1V1.csv,1950.0,1950.0
3. LAB,2025,0171U,NATIONAL,,2025-01-01,Trgt gen seq alys pnl dna 23,CLFS 2025 Q1V1.csv,1519.06,1519.06
3. LAB,2025,0172U,NATIONAL,,2025-01-01,Onc sld tum alys brca1 brca2,CLFS 2025 Q1V1.csv,3030.0,3030.0
3. LAB,2025,0173U,NATIONAL,,2025-01-01,Psyc gen alys panel 14 genes,CLFS 2025 Q1V1.csv,466.17,466.17
3. LAB,2025,0174U,NATIONAL,,2025-01-01,Onc solid tumor 30 prtn trgt,CLFS 2025 Q1V1.csv,1305.37,1305.37
3. LAB,2025,0175U,NATIONAL,,2025-01-01,Psyc gen alys panel 15 genes,CLFS 2025 Q1V1.csv,1336.09,1336.09
3. LAB,2025,0176U,NATIONAL,,2025-01-01,Cdtb&vinculin igg antb ia,CLFS 2025 Q1V1.csv,64.19,64.19
3. LAB,2025,0177U,NATIONAL,,2025-01-01,Onc brst ca dna pik3ca 11,CLFS 2025 Q1V1.csv,274.83,274.83
3. LAB,2025,0178U,NATIONAL,,2025-01-01,Peanut allg asmt epi clin rx,CLFS 2025 Q1V1.csv,459.86,459.86
3. LAB,2025,0179U,NATIONAL,,2025-01-01,Onc nonsm cll lng ca alys 23,CLFS 2025 Q1V1.csv,1943.21,1943.21
3. LAB,2025,0180U,NATIONAL,,2025-01-01,Abo gnotyp abo 7 exons,CLFS 2025 Q1V1.csv,274.83,274.83
3. LAB,2025,0181U,NATIONAL,,2025-01-01,Co gnotyp aqp1 exon 1,CLFS 2025 Q1V1.csv,185.2,185.2
3. LAB,2025,0182U,NATIONAL,,2025-01-01,Crom gnotyp cd55 exons 1-10,CLFS 2025 Q1V1.csv,301.35,301.35
3. LAB,2025,0183U,NATIONAL,,2025-01-01,Di gnotyp slc4a1 exon 19,CLFS 2025 Q1V1.csv,185.2,185.2
3. LAB,2025,0184U,NATIONAL,,2025-01-01,Do gnotyp art4 exon 2,CLFS 2025 Q1V1.csv,185.2,185.2
3. LAB,2025,0185U,NATIONAL,,2025-01-01,Fut1 gnotyp fut1 exon 4,CLFS 2025 Q1V1.csv,185.2,185.2
3. LAB,2025,0186U,NATIONAL,,2025-01-01,Fut2 gnotyp fut2 exon 2,CLFS 2025 Q1V1.csv,185.2,185.2
3. LAB,2025,0187U,NATIONAL,,2025-01-01,Fy gnotyp ackr1 exons 1-2,CLFS 2025 Q1V1.csv,274.83,274.83
3. LAB,2025,0188U,NATIONAL,,2025-01-01,Ge gnotyp gypc exons 1-4,CLFS 2025 Q1V1.csv,274.83,274.83
3. LAB,2025,0189U,NATIONAL,,2025-01-01,Gypa gnotyp ntrns 1 5 exon 2,CLFS 2025 Q1V1.csv,274.83,274.83
3. LAB,2025,0190U,NATIONAL,,2025-01-01,Gypb gnotyp ntrns 1 5 seux 3,CLFS 2025 Q1V1.csv,274.83,274.83
3. LAB,2025,0191U,NATIONAL,,2025-01-01,In gnotyp cd44 exons 2 3 6,CLFS 2025 Q1V1.csv,274.83,274.83
3. LAB,2025,0192U,NATIONAL,,2025-01-01,Jk gnotyp slc14a1 exon 9,CLFS 2025 Q1V1.csv,274.83,274.83
3. LAB,2025,0193U,NATIONAL,,2025-01-01,Jr gnotyp abcg2 exons 2-26,CLFS 2025 Q1V1.csv,282.88,282.88
3. LAB,2025,0194U,NATIONAL,,2025-01-01,Kel gnotyp kel exon 8,CLFS 2025 Q1V1.csv,185.2,185.2
3. LAB,2025,0195U,NATIONAL,,2025-01-01,Klf1 targeted sequencing,CLFS 2025 Q1V1.csv,375.25,375.25
3. LAB,2025,0196U,NATIONAL,,2025-01-01,Lu gnotyp bcam exon 3,CLFS 2025 Q1V1.csv,185.2,185.2
3. LAB,2025,0197U,NATIONAL,,2025-01-01,Lw gnotyp icam4 exon 1,CLFS 2025 Q1V1.csv,185.2,185.2
3. LAB,2025,0198U,NATIONAL,,2025-01-01,Rhd&rhce gntyp rhd1-10&rhce5,CLFS 2025 Q1V1.csv,282.88,282.88
3. LAB,2025,0199U,NATIONAL,,2025-01-01,Sc gnotyp ermap exons 4 12,CLFS 2025 Q1V1.csv,274.83,274.83
3. LAB,2025,0200U,NATIONAL,,2025-01-01,Xk gnotyp xk exons 1-3,CLFS 2025 Q1V1.csv,274.83,274.83
3. LAB,2025,0201U,NATIONAL,,2025-01-01,Yt gnotyp ache exon 2,CLFS 2025 Q1V1.csv,185.2,185.2
3. LAB,2025,0202U,NATIONAL,,2025-01-01,Nfct ds 22 trgt sars-cov-2,CLFS 2025 Q1V1.csv,416.78,416.78
3. LAB,2025,0203U,NATIONAL,,2025-01-01,Ai ibd mrna xprsn prfl 17,CLFS 2025 Q1V1.csv,760.0,760.0
3. LAB,2025,0205U,NATIONAL,,2025-01-01,Oph amd alys 3 gene variants,CLFS 2025 Q1V1.csv,47.0,47.0
3. LAB,2025,0206U,NATIONAL,,2025-01-01,Neuro alzheimer cell aggregj,CLFS 2025 Q1V1.csv,2215.4,2215.4
3. LAB,2025,0207U,NATIONAL,,2025-01-01,Neuro alzheimer quan imaging,CLFS 2025 Q1V1.csv,511.2,511.2
3. LAB,2025,0209U,NATIONAL,,2025-01-01,Cytog const alys interrog,CLFS 2025 Q1V1.csv,787.15,787.15
3. LAB,2025,0210U,NATIONAL,,2025-01-01,Syphilis tst antb ia quan,CLFS 2025 Q1V1.csv,18.63,18.63
3. LAB,2025,0211U,NATIONAL,,2025-01-01,Onc pan-tum dna&rna gnrj seq,CLFS 2025 Q1V1.csv,8455.0,8455.0
3. LAB,2025,0212U,NATIONAL,,2025-01-01,Rare ds gen dna alys proband,CLFS 2025 Q1V1.csv,5475.2,5475.2
3. LAB,2025,0213U,NATIONAL,,2025-01-01,Rare ds gen dna alys ea comp,CLFS 2025 Q1V1.csv,2709.95,2709.95
3. LAB,2025,0214U,NATIONAL,,2025-01-01,Rare ds xom dna alys proband,CLFS 2025 Q1V1.csv,5224.6,5224.6
3. LAB,2025,0215U,NATIONAL,,2025-01-01,Rare ds xom dna alys ea comp,CLFS 2025 Q1V1.csv,2574.65,2574.65
3. LAB,2025,0216U,NATIONAL,,2025-01-01,Neuro inh ataxia dna 12 com,CLFS 2025 Q1V1.csv,1537.02,1537.02
3. LAB,2025,0217U,NATIONAL,,2025-01-01,Neuro inh ataxia dna 51 gene,CLFS 2025 Q1V1.csv,2198.35,2198.35
3. LAB,2025,0218U,NATIONAL,,2025-01-01,Neuro musc dys dmd seq alys,CLFS 2025 Q1V1.csv,2279.0,2279.0
3. LAB,2025,0219U,NATIONAL,,2025-01-01,Nfct agt hiv gnrj seq alys,CLFS 2025 Q1V1.csv,725.0,725.0
3. LAB,2025,0220U,NATIONAL,,2025-01-01,Onc brst ca ai assmt 12 feat,CLFS 2025 Q1V1.csv,706.25,706.25
3. LAB,2025,0221U,NATIONAL,,2025-01-01,Abo gnotyp next gnrj seq abo,CLFS 2025 Q1V1.csv,274.83,274.83
