CMS SCHEDULE,YEAR,EFF_DATE,HCPCS,MOD,SHORTDESC,GEOGRAPHY,FILE_NAME,NF RATE,F RATE
4. DME,2025,2025-01-01,A4398,,Ostomy irrigation bag,OR (NR),DMEPOS_JAN.csv,19.31,19.31
4. DME,2025,2025-01-01,A4399,,Ostomy irrig cone/cath w brs,OR (NR),DMEPOS_JAN.csv,17.14,17.14
4. DME,2025,2025-01-01,A4400,,Ostomy irrigation set,OR (NR),DMEPOS_JAN.csv,58.04,58.04
4. DME,2025,2025-01-01,A4402,,Lubricant per ounce,OR (NR),DMEPOS_JAN.csv,2.23,2.23
4. DME,2025,2025-01-01,A4404,,Ostomy ring each,OR (NR),DMEPOS_JAN.csv,1.99,1.99
4. DME,2025,2025-01-01,A4405,,Nonpectin based ostomy paste,OR (NR),DMEPOS_JAN.csv,4.77,4.77
4. DME,2025,2025-01-01,A4406,,Pectin based ostomy paste,OR (NR),DMEPOS_JAN.csv,8.0,8.0
4. DME,2025,2025-01-01,A4407,,"Ext wear ost skn barr <=4sq""",OR (NR),DMEPOS_JAN.csv,12.24,12.24
4. DME,2025,2025-01-01,A4408,,"Ext wear ost skn barr >4sq""",OR (NR),DMEPOS_JAN.csv,13.79,13.79
4. DME,2025,2025-01-01,A4409,,Ost skn barr convex <=4 sq i,OR (NR),DMEPOS_JAN.csv,8.67,8.67
4. DME,2025,2025-01-01,A4410,,Ost skn barr extnd >4 sq,OR (NR),DMEPOS_JAN.csv,12.63,12.63
4. DME,2025,2025-01-01,A4411,,Ost skn barr extnd =4sq,OR (NR),DMEPOS_JAN.csv,7.12,7.12
4. DME,2025,2025-01-01,A4412,,Ost pouch drain high output,OR (NR),DMEPOS_JAN.csv,3.78,3.78
4. DME,2025,2025-01-01,A4413,,2 pc drainable ost pouch,OR (NR),DMEPOS_JAN.csv,7.7,7.7
4. DME,2025,2025-01-01,A4414,,Ost sknbar w/o conv<=4 sq in,OR (NR),DMEPOS_JAN.csv,6.87,6.87
4. DME,2025,2025-01-01,A4415,,Ost skn barr w/o conv >4 sqi,OR (NR),DMEPOS_JAN.csv,8.38,8.38
4. DME,2025,2025-01-01,A4416,,Ost pch clsd w barrier/filtr,OR (NR),DMEPOS_JAN.csv,3.85,3.85
4. DME,2025,2025-01-01,A4417,,Ost pch w bar/bltinconv/fltr,OR (NR),DMEPOS_JAN.csv,5.21,5.21
4. DME,2025,2025-01-01,A4418,,Ost pch clsd w/o bar w filtr,OR (NR),DMEPOS_JAN.csv,2.53,2.53
4. DME,2025,2025-01-01,A4419,,Ost pch for bar w flange/flt,OR (NR),DMEPOS_JAN.csv,2.41,2.41
4. DME,2025,2025-01-01,A4420,,Ost pch clsd for bar w lk fl,OR (NR),DMEPOS_JAN.csv,0.0,0.0
4. DME,2025,2025-01-01,A4422,,Ost pouch absorbent material,OR (NR),DMEPOS_JAN.csv,0.15,0.15
4. DME,2025,2025-01-01,A4423,,Ost pch for bar w lk fl/fltr,OR (NR),DMEPOS_JAN.csv,2.59,2.59
4. DME,2025,2025-01-01,A4424,,Ost pch drain w bar & filter,OR (NR),DMEPOS_JAN.csv,6.65,6.65
4. DME,2025,2025-01-01,A4425,,Ost pch drain for barrier fl,OR (NR),DMEPOS_JAN.csv,5.0,5.0
4. DME,2025,2025-01-01,A4426,,Ost pch drain 2 piece system,OR (NR),DMEPOS_JAN.csv,3.81,3.81
4. DME,2025,2025-01-01,A4427,,Ost pch drain/barr lk flng/f,OR (NR),DMEPOS_JAN.csv,3.9,3.9
4. DME,2025,2025-01-01,A4428,,Urine ost pouch w faucet/tap,OR (NR),DMEPOS_JAN.csv,9.11,9.11
4. DME,2025,2025-01-01,A4429,,Urine ost pouch w bltinconv,OR (NR),DMEPOS_JAN.csv,11.53,11.53
4. DME,2025,2025-01-01,A4430,,Ost urine pch w b/bltin conv,OR (NR),DMEPOS_JAN.csv,11.9,11.9
4. DME,2025,2025-01-01,A4431,,Ost pch urine w barrier/tapv,OR (NR),DMEPOS_JAN.csv,8.67,8.67
4. DME,2025,2025-01-01,A4432,,Os pch urine w bar/fange/tap,OR (NR),DMEPOS_JAN.csv,5.01,5.01
4. DME,2025,2025-01-01,A4433,,Urine ost pch bar w lock fln,OR (NR),DMEPOS_JAN.csv,4.69,4.69
4. DME,2025,2025-01-01,A4434,,Ost pch urine w lock flng/ft,OR (NR),DMEPOS_JAN.csv,5.25,5.25
4. DME,2025,2025-01-01,A4435,,1pc ost pch drain hgh output,OR (NR),DMEPOS_JAN.csv,8.05,8.05
4. DME,2025,2025-01-01,A4436,,Irr supply sleev reus per mo,OR (NR),DMEPOS_JAN.csv,22.77,22.77
4. DME,2025,2025-01-01,A4437,,Irr supply sleev disp per mo,OR (NR),DMEPOS_JAN.csv,22.77,22.77
4. DME,2025,2025-01-01,A4438,,Adhesive clip ext ens contr,OR (NR),DMEPOS_JAN.csv,1.93,1.93
4. DME,2025,2025-01-01,A4450,,Non-waterproof tape,OR (NR),DMEPOS_JAN.csv,0.1,0.1
4. DME,2025,2025-01-01,A4450,,Non-waterproof tape,OR (NR),DMEPOS_JAN.csv,0.1,0.1
4. DME,2025,2025-01-01,A4450,,Non-waterproof tape,OR (NR),DMEPOS_JAN.csv,0.14,0.14
4. DME,2025,2025-01-01,A4452,,Waterproof tape,OR (NR),DMEPOS_JAN.csv,0.49,0.49
4. DME,2025,2025-01-01,A4452,,Waterproof tape,OR (NR),DMEPOS_JAN.csv,0.49,0.49
4. DME,2025,2025-01-01,A4452,,Waterproof tape,OR (NR),DMEPOS_JAN.csv,0.53,0.53
4. DME,2025,2025-01-01,A4455,,Adhesive remover per ounce,OR (NR),DMEPOS_JAN.csv,1.99,1.99
4. DME,2025,2025-01-01,A4456,,"Adhesive remover, wipes",OR (NR),DMEPOS_JAN.csv,0.34,0.34
4. DME,2025,2025-01-01,A4461,,Surgicl dress hold non-reuse,OR (NR),DMEPOS_JAN.csv,4.61,4.61
4. DME,2025,2025-01-01,A4463,,Surgical dress holder reuse,OR (NR),DMEPOS_JAN.csv,18.6,18.6
4. DME,2025,2025-01-01,A4481,,Tracheostoma filter,OR (NR),DMEPOS_JAN.csv,0.51,0.51
4. DME,2025,2025-01-01,A4483,,Moisture exchanger,OR (NR),DMEPOS_JAN.csv,0.0,0.0
4. DME,2025,2025-01-01,A4541,,Monthly supp use with e0733,OR (NR),DMEPOS_JAN.csv,39.61,39.61
4. DME,2025,2025-01-01,A4542,,Supp ext up limb tremor stim,OR (NR),DMEPOS_JAN.csv,516.52,516.52
4. DME,2025,2025-01-01,A4544,,Electro nerve stimulator rls,OR (NR),DMEPOS_JAN.csv,6.22,6.22
4. DME,2025,2025-01-01,A4545,,Suppl accessor tibial stim,OR (NR),DMEPOS_JAN.csv,40.57,40.57
4. DME,2025,2025-01-01,A4556,,"Electrodes, pair",OR (NR),DMEPOS_JAN.csv,16.56,16.56
4. DME,2025,2025-01-01,A4557,,"Lead wires, pair",OR (NR),DMEPOS_JAN.csv,12.13,12.13
4. DME,2025,2025-01-01,A4558,,Conductive gel or paste,OR (NR),DMEPOS_JAN.csv,6.99,6.99
4. DME,2025,2025-01-01,A4559,,Coupling gel or paste,OR (NR),DMEPOS_JAN.csv,0.13,0.13
4. DME,2025,2025-01-01,A4561,,Pessary reusable rub anytype,OR (NR),DMEPOS_JAN.csv,27.87,27.87
4. DME,2025,2025-01-01,A4562,,Pessary reusable nonrubber,OR (NR),DMEPOS_JAN.csv,69.42,69.42
4. DME,2025,2025-01-01,A4563,,Vag inser rectal control sys,OR (NR),DMEPOS_JAN.csv,1608.14,1608.14
4. DME,2025,2025-01-01,A4565,,Slings,OR (NR),DMEPOS_JAN.csv,10.76,10.76
4. DME,2025,2025-01-01,A4594,,Neuromod adj rehab mouthpie,OR (NR),DMEPOS_JAN.csv,3034.43,3034.43
4. DME,2025,2025-01-01,A4595,,Tens suppl 2 lead per month,OR (NR),DMEPOS_JAN.csv,11.1,11.1
4. DME,2025,2025-01-01,A4596,,Ces system monthly supp,OR (NR),DMEPOS_JAN.csv,39.61,39.61
4. DME,2025,2025-01-01,A4602,,Replace lithium battery 1.5v,OR (NR),DMEPOS_JAN.csv,5.21,5.21
4. DME,2025,2025-01-01,A4604,,Tubing with heating element,OR (NR),DMEPOS_JAN.csv,49.33,49.33
4. DME,2025,2025-01-01,A4605,,Trach suction cath close sys,OR (NR),DMEPOS_JAN.csv,22.92,22.92
4. DME,2025,2025-01-01,A4608,,Transtracheal oxygen cath,OR (NR),DMEPOS_JAN.csv,70.04,70.04
4. DME,2025,2025-01-01,A4614,,Hand-held pefr meter,OR (NR),DMEPOS_JAN.csv,33.23,33.23
4. DME,2025,2025-01-01,A4615,,Cannula nasal,OR (NR),DMEPOS_JAN.csv,1.02,1.02
4. DME,2025,2025-01-01,A4616,,Tubing (oxygen) per foot,OR (NR),DMEPOS_JAN.csv,0.08,0.08
4. DME,2025,2025-01-01,A4617,,Mouth piece,OR (NR),DMEPOS_JAN.csv,4.33,4.33
4. DME,2025,2025-01-01,A4618,,Breathing circuits,OR (NR),DMEPOS_JAN.csv,10.7,10.7
4. DME,2025,2025-01-01,A4618,,Breathing circuits,OR (NR),DMEPOS_JAN.csv,1.22,1.22
4. DME,2025,2025-01-01,A4618,,Breathing circuits,OR (NR),DMEPOS_JAN.csv,8.0,8.0
4. DME,2025,2025-01-01,A4619,,Face tent,OR (NR),DMEPOS_JAN.csv,2.5,2.5
4. DME,2025,2025-01-01,A4620,,Variable concentration mask,OR (NR),DMEPOS_JAN.csv,0.84,0.84
4. DME,2025,2025-01-01,A4623,,Tracheostomy inner cannula,OR (NR),DMEPOS_JAN.csv,7.79,7.79
4. DME,2025,2025-01-01,A4624,,Tracheal suction tube,OR (NR),DMEPOS_JAN.csv,3.69,3.69
4. DME,2025,2025-01-01,A4625,,Trach care kit for new trach,OR (NR),DMEPOS_JAN.csv,8.23,8.23
4. DME,2025,2025-01-01,A4626,,Tracheostomy cleaning brush,OR (NR),DMEPOS_JAN.csv,3.78,3.78
4. DME,2025,2025-01-01,A4628,,Oropharyngeal suction cath,OR (NR),DMEPOS_JAN.csv,5.1,5.1
4. DME,2025,2025-01-01,A4629,,Tracheostomy care kit,OR (NR),DMEPOS_JAN.csv,6.46,6.46
4. DME,2025,2025-01-01,A4630,,Repl bat t.e.n.s. own by pt,OR (NR),DMEPOS_JAN.csv,8.71,8.71
4. DME,2025,2025-01-01,A4633,,Uvl replacement bulb,OR (NR),DMEPOS_JAN.csv,57.34,57.34
4. DME,2025,2025-01-01,A4635,,Underarm crutch pad,OR (NR),DMEPOS_JAN.csv,7.14,7.14
4. DME,2025,2025-01-01,A4635,,Underarm crutch pad,OR (NR),DMEPOS_JAN.csv,0.97,0.97
4. DME,2025,2025-01-01,A4635,,Underarm crutch pad,OR (NR),DMEPOS_JAN.csv,4.76,4.76
4. DME,2025,2025-01-01,A4636,,Handgrip for cane etc,OR (NR),DMEPOS_JAN.csv,3.86,3.86
4. DME,2025,2025-01-01,A4636,NUKE,Handgrip for cane etc,OR (NR),DMEPOS_JAN.csv,0.0,0.0
4. DME,2025,2025-01-01,A4636,,Handgrip for cane etc,OR (NR),DMEPOS_JAN.csv,0.39,0.39
4. DME,2025,2025-01-01,A4636,RRKE,Handgrip for cane etc,OR (NR),DMEPOS_JAN.csv,0.0,0.0
4. DME,2025,2025-01-01,A4636,,Handgrip for cane etc,OR (NR),DMEPOS_JAN.csv,2.9,2.9
4. DME,2025,2025-01-01,A4636,UEKE,Handgrip for cane etc,OR (NR),DMEPOS_JAN.csv,0.0,0.0
4. DME,2025,2025-01-01,A4637,,Repl tip cane/crutch/walker,OR (NR),DMEPOS_JAN.csv,2.14,2.14
4. DME,2025,2025-01-01,A4637,NUKE,Repl tip cane/crutch/walker,OR (NR),DMEPOS_JAN.csv,0.0,0.0
4. DME,2025,2025-01-01,A4637,,Repl tip cane/crutch/walker,OR (NR),DMEPOS_JAN.csv,0.22,0.22
4. DME,2025,2025-01-01,A4637,RRKE,Repl tip cane/crutch/walker,OR (NR),DMEPOS_JAN.csv,0.0,0.0
4. DME,2025,2025-01-01,A4637,,Repl tip cane/crutch/walker,OR (NR),DMEPOS_JAN.csv,1.61,1.61
4. DME,2025,2025-01-01,A4637,UEKE,Repl tip cane/crutch/walker,OR (NR),DMEPOS_JAN.csv,0.0,0.0
4. DME,2025,2025-01-01,A4638,,Repl batt pulse gen sys,OR (NR),DMEPOS_JAN.csv,0.0,0.0
4. DME,2025,2025-01-01,A4638,,Repl batt pulse gen sys,OR (NR),DMEPOS_JAN.csv,0.0,0.0
4. DME,2025,2025-01-01,A4638,,Repl batt pulse gen sys,OR (NR),DMEPOS_JAN.csv,0.0,0.0
4. DME,2025,2025-01-01,A4639,,Infrared ht sys replcmnt pad,OR (NR),DMEPOS_JAN.csv,40.14,40.14
4. DME,2025,2025-01-01,A4640,,Alternating pressure pad,OR (NR),DMEPOS_JAN.csv,56.58,56.58
4. DME,2025,2025-01-01,A4640,,Alternating pressure pad,OR (NR),DMEPOS_JAN.csv,5.66,5.66
4. DME,2025,2025-01-01,A4640,,Alternating pressure pad,OR (NR),DMEPOS_JAN.csv,42.44,42.44
4. DME,2025,2025-01-01,A5051,,Pouch clsd w barr attached,OR (NR),DMEPOS_JAN.csv,2.88,2.88
4. DME,2025,2025-01-01,A5052,,Clsd ostomy pouch w/o barr,OR (NR),DMEPOS_JAN.csv,2.08,2.08
4. DME,2025,2025-01-01,A5053,,Clsd ostomy pouch faceplate,OR (NR),DMEPOS_JAN.csv,2.41,2.41
4. DME,2025,2025-01-01,A5054,,Clsd ostomy pouch w/flange,OR (NR),DMEPOS_JAN.csv,2.51,2.51
4. DME,2025,2025-01-01,A5055,,Stoma cap,OR (NR),DMEPOS_JAN.csv,2.01,2.01
4. DME,2025,2025-01-01,A5056,,1 pc ost pouch w filter,OR (NR),DMEPOS_JAN.csv,6.53,6.53
4. DME,2025,2025-01-01,A5057,,1 pc ost pou w built-in conv,OR (NR),DMEPOS_JAN.csv,13.41,13.41
4. DME,2025,2025-01-01,A5061,,Pouch drainable w barrier at,OR (NR),DMEPOS_JAN.csv,4.94,4.94
4. DME,2025,2025-01-01,A5062,,Drnble ostomy pouch w/o barr,OR (NR),DMEPOS_JAN.csv,2.9,2.9
4. DME,2025,2025-01-01,A5063,,Drain ostomy pouch w/flange,OR (NR),DMEPOS_JAN.csv,3.78,3.78
4. DME,2025,2025-01-01,A5071,,Urinary pouch w/barrier,OR (NR),DMEPOS_JAN.csv,8.4,8.4
4. DME,2025,2025-01-01,A5072,,Urinary pouch w/o barrier,OR (NR),DMEPOS_JAN.csv,4.9,4.9
4. DME,2025,2025-01-01,A5073,,Urinary pouch on barr w/flng,OR (NR),DMEPOS_JAN.csv,4.44,4.44
4. DME,2025,2025-01-01,A5081,,"Stoma plug or seal, any type",OR (NR),DMEPOS_JAN.csv,3.94,3.94
4. DME,2025,2025-01-01,A5082,,Continent stoma catheter,OR (NR),DMEPOS_JAN.csv,14.18,14.18
4. DME,2025,2025-01-01,A5083,,Stoma absorptive cover,OR (NR),DMEPOS_JAN.csv,0.9,0.9
4. DME,2025,2025-01-01,A5093,,Ostomy accessory convex inse,OR (NR),DMEPOS_JAN.csv,2.32,2.32
4. DME,2025,2025-01-01,A5102,,Bedside drain btl w/wo tube,OR (NR),DMEPOS_JAN.csv,31.53,31.53
4. DME,2025,2025-01-01,A5105,,Urinary suspensory,OR (NR),DMEPOS_JAN.csv,48.42,48.42
4. DME,2025,2025-01-01,A5112,,Urinary leg bag,OR (NR),DMEPOS_JAN.csv,48.38,48.38
4. DME,2025,2025-01-01,A5113,,Latex leg strap,OR (NR),DMEPOS_JAN.csv,5.59,5.59
4. DME,2025,2025-01-01,A5114,,Foam/fabric leg strap,OR (NR),DMEPOS_JAN.csv,10.63,10.63
4. DME,2025,2025-01-01,A5120,,"Skin barrier, wipe or swab",OR (NR),DMEPOS_JAN.csv,0.29,0.29
4. DME,2025,2025-01-01,A5120,,"Skin barrier, wipe or swab",OR (NR),DMEPOS_JAN.csv,0.29,0.29
4. DME,2025,2025-01-01,A5121,,Solid skin barrier 6x6,OR (NR),DMEPOS_JAN.csv,10.41,10.41
4. DME,2025,2025-01-01,A5122,,Solid skin barrier 8x8,OR (NR),DMEPOS_JAN.csv,15.25,15.25
4. DME,2025,2025-01-01,A5126,,Disk/foam pad +or- adhesive,OR (NR),DMEPOS_JAN.csv,1.56,1.56
4. DME,2025,2025-01-01,A5131,,Appliance cleaner,OR (NR),DMEPOS_JAN.csv,18.83,18.83
4. DME,2025,2025-01-01,A5200,,Percutaneous catheter anchor,OR (NR),DMEPOS_JAN.csv,15.78,15.78
