CMS SCHEDULE,YEAR,EFF_DATE,GEOGRAPHY,HCPCS,MOD,SHORTDESC,WORK RVU,NON-FAC PE RVU,FACILITY PE RVU,MP RVU,PW GPCI,PE GPCI,MP GPCI,CONV FACTOR,FILE_NAME,NF RVUS,F RVUS,NF RATE,F RATE
1. PFS,2025,2025-01-01,NATIONAL,G0130,TC,Single energy x-ray study,0.0,0.8,0.8,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.81,0.81,26.200665,26.200665
1. PFS,2025,2025-01-01,NATIONAL,G0130,26,Single energy x-ray study,0.22,0.1,0.1,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.33,0.33,10.674345,10.674345
1. PFS,2025,2025-01-01,NATIONAL,G0136,,Adm of soc dtr assess 5-15 m,0.18,0.38,0.08,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.5700000000000001,0.27,18.437505,8.733555
1. PFS,2025,2025-01-01,NATIONAL,G0138,,Iv cipaglucosidase alfa-atga,0.21,5.07,5.07,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,5.32,5.32,172.08338,172.08338
1. PFS,2025,2025-01-01,NATIONAL,G0140,,Nav srv peer sup 60 min pr m,1.0,1.35,0.41,0.06,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,2.41,1.47,77.955065,47.549355
1. PFS,2025,2025-01-01,NATIONAL,G0141,,"Scr c/v cyto,autosys and md",0.26,0.48,0.48,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.75,0.75,24.259875,24.259875
1. PFS,2025,2025-01-01,NATIONAL,G0146,,Nav srv peer sup add 30 pr m,0.7,0.76,0.29,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.5,1.03,48.51975,33.316895
1. PFS,2025,2025-01-01,NATIONAL,G0166,,"Extrnl counterpulse, per tx",0.0,2.96,2.96,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,3.0,3.0,97.0395,97.0395
1. PFS,2025,2025-01-01,NATIONAL,G0168,,Wound closure by adhesive,0.31,2.6,0.07,0.05,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,2.96,0.43,95.74564,13.908994999999999
1. PFS,2025,2025-01-01,NATIONAL,G0179,,Md recertification hha pt,0.45,0.79,0.79,0.03,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.27,1.27,41.080055,41.080055
1. PFS,2025,2025-01-01,NATIONAL,G0180,,Md certification hha patient,0.67,0.9,0.9,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.61,1.61,52.077865,52.077865
1. PFS,2025,2025-01-01,NATIONAL,G0181,,Home health care supervision,1.73,1.3,1.3,0.13,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,3.16,3.16,102.21494,102.21494
1. PFS,2025,2025-01-01,NATIONAL,G0182,,Hospice care supervision,1.73,1.27,1.27,0.12,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,3.12,3.12,100.92108,100.92108
1. PFS,2025,2025-01-01,NATIONAL,G0237,,Therapeutic procd strg endur,0.0,0.34,0.34,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.35000000000000003,0.35000000000000003,11.321275,11.321275
1. PFS,2025,2025-01-01,NATIONAL,G0238,,"Oth resp proc, indiv",0.0,0.3,0.3,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.31,0.31,10.027415,10.027415
1. PFS,2025,2025-01-01,NATIONAL,G0239,,"Oth resp proc, group",0.0,0.39,0.39,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.4,0.4,12.938600000000001,12.938600000000001
1. PFS,2025,2025-01-01,NATIONAL,G0245,,Initial foot exam pt lops,0.88,1.0,0.25,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.92,1.17,62.10527999999999,37.845405
1. PFS,2025,2025-01-01,NATIONAL,G0246,,Followup eval of foot pt lop,0.45,0.69,0.12,0.02,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.16,0.5900000000000001,37.521939999999994,19.084435000000003
1. PFS,2025,2025-01-01,NATIONAL,G0247,,Routine footcare pt w lops,0.5,1.97,0.12,0.02,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,2.4899999999999998,0.64,80.542785,20.70176
1. PFS,2025,2025-01-01,NATIONAL,G0248,,Demonstrate use home inr mon,0.0,2.95,2.95,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,2.99,2.99,96.716035,96.716035
1. PFS,2025,2025-01-01,NATIONAL,G0249,,Provide inr test mater/equip,0.0,1.87,1.87,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.8800000000000001,1.8800000000000001,60.81142,60.81142
1. PFS,2025,2025-01-01,NATIONAL,G0250,,Md inr test revie inter mgmt,0.18,0.07,0.07,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.26,0.26,8.41009,8.41009
1. PFS,2025,2025-01-01,NATIONAL,G0252,26,Pet imaging initial dx,1.5,0.59,0.59,0.03,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,2.1199999999999997,2.1199999999999997,68.57457999999998,68.57457999999998
1. PFS,2025,2025-01-01,NATIONAL,G0268,,Removal of impacted wax md,0.61,0.87,0.29,0.08,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.56,0.9799999999999999,50.46054,31.699569999999994
1. PFS,2025,2025-01-01,NATIONAL,G0270,,Mnt subs tx for change dx,0.45,0.5,0.36,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.96,0.8200000000000001,31.052639999999997,26.52413
1. PFS,2025,2025-01-01,NATIONAL,G0271,,Group mnt 2 or more 30 mins,0.25,0.25,0.2,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.51,0.46,16.496715,14.87939
1. PFS,2025,2025-01-01,NATIONAL,G0276,,Pild/placebo control clin tr,7.17,3.03,3.03,0.74,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,10.94,10.94,353.87071,353.87071
1. PFS,2025,2025-01-01,NATIONAL,G0277,,"Hbot, full body chamber, 30m",0.0,5.22,5.22,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,5.26,5.26,170.14258999999998,170.14258999999998
1. PFS,2025,2025-01-01,NATIONAL,G0278,,"Iliac art angio,cardiac cath",0.25,0.09,0.09,0.05,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.38999999999999996,0.38999999999999996,12.615134999999999,12.615134999999999
1. PFS,2025,2025-01-01,NATIONAL,G0279,,"Tomosynthesis, mammo",0.6,0.69,0.69,0.03,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.32,1.32,42.69738,42.69738
1. PFS,2025,2025-01-01,NATIONAL,G0279,TC,"Tomosynthesis, mammo",0.0,0.47,0.47,0.0,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.47,0.47,15.202854999999998,15.202854999999998
1. PFS,2025,2025-01-01,NATIONAL,G0279,26,"Tomosynthesis, mammo",0.6,0.22,0.22,0.03,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.85,0.85,27.494525,27.494525
1. PFS,2025,2025-01-01,NATIONAL,G0281,,Elec stim unattend for press,0.18,0.16,0.16,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.35,0.35,11.321274999999998,11.321274999999998
1. PFS,2025,2025-01-01,NATIONAL,G0283,,Elec stim other than wound,0.18,0.19,0.19,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.38,0.38,12.29167,12.29167
1. PFS,2025,2025-01-01,NATIONAL,G0288,,"Recon, cta for surg plan",0.0,1.33,1.33,0.07,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.4000000000000001,1.4000000000000001,45.2851,45.2851
1. PFS,2025,2025-01-01,NATIONAL,G0289,,"Arthro, loose body + chondro",1.48,0.77,0.77,0.29,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,2.54,2.54,82.16011,82.16011
1. PFS,2025,2025-01-01,NATIONAL,G0296,,Visit to determ ldct elig,0.52,0.28,0.2,0.03,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.8300000000000001,0.75,26.847595000000002,24.259875
1. PFS,2025,2025-01-01,NATIONAL,G0316,,Prolong inpt eval add15 m,0.61,0.3,0.26,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.95,0.91,30.729174999999998,29.435315
1. PFS,2025,2025-01-01,NATIONAL,G0317,,Prolong nursin fac eval 15m,0.61,0.29,0.25,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.94,0.9,30.405709999999996,29.11185
1. PFS,2025,2025-01-01,NATIONAL,G0318,,Prolong home eval add 15m,0.61,0.28,0.24,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.93,0.89,30.082245,28.788384999999998
1. PFS,2025,2025-01-01,NATIONAL,G0323,,Care manage beh svs 20mins,0.93,0.69,0.3,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.6600000000000001,1.27,53.695190000000004,41.080055
1. PFS,2025,2025-01-01,NATIONAL,G0329,,Electromagntic tx for ulcers,0.06,0.25,0.25,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.32,0.32,10.35088,10.35088
1. PFS,2025,2025-01-01,NATIONAL,G0337,,Hospice evaluation preelecti,1.42,0.56,0.56,0.08,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,2.06,2.06,66.63379,66.63379
1. PFS,2025,2025-01-01,NATIONAL,G0341,,Percutaneous islet celltrans,6.98,39.11,1.4,0.85,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,46.940000000000005,9.23,1518.34471,298.558195
1. PFS,2025,2025-01-01,NATIONAL,G0342,,Laparoscopy islet cell trans,11.92,7.88,7.88,3.03,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,22.830000000000002,22.830000000000002,738.470595,738.470595
1. PFS,2025,2025-01-01,NATIONAL,G0343,,Laparotomy islet cell transp,19.85,12.35,12.35,5.07,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,37.27,37.27,1205.554055,1205.554055
1. PFS,2025,2025-01-01,NATIONAL,G0372,,Md service required for pmd,0.17,0.08,0.08,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.26,0.26,8.41009,8.41009
1. PFS,2025,2025-01-01,NATIONAL,G0396,,Alcohol/subs interv 15-30mn,0.65,0.34,0.25,0.05,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.04,0.9500000000000001,33.64036,30.729175
1. PFS,2025,2025-01-01,NATIONAL,G0397,,Alcohol/subs interv >30 min,1.3,0.57,0.48,0.07,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.9400000000000002,1.85,62.752210000000005,59.841025
1. PFS,2025,2025-01-01,NATIONAL,G0402,,Initial preventive exam,2.6,2.21,1.13,0.16,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,4.970000000000001,3.89,160.76210500000002,125.827885
1. PFS,2025,2025-01-01,NATIONAL,G0403,,Ekg for initial prevent exam,0.17,0.24,0.24,0.02,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.43000000000000005,0.43000000000000005,13.908995,13.908995
1. PFS,2025,2025-01-01,NATIONAL,G0404,,Ekg tracing for initial prev,0.0,0.18,0.18,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.19,0.19,6.145835,6.145835
1. PFS,2025,2025-01-01,NATIONAL,G0405,,Ekg interpret & report preve,0.17,0.06,0.06,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.24000000000000002,0.24000000000000002,7.76316,7.76316
1. PFS,2025,2025-01-01,NATIONAL,G0406,,Inpt/tele follow up 15,0.76,0.38,0.38,0.08,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.2200000000000002,1.2200000000000002,39.46273000000001,39.46273000000001
1. PFS,2025,2025-01-01,NATIONAL,G0407,,Inpt/tele follow up 25,1.39,0.64,0.64,0.13,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,2.1599999999999997,2.1599999999999997,69.86843999999999,69.86843999999999
1. PFS,2025,2025-01-01,NATIONAL,G0408,,Inpt/tele follow up 35,2.0,0.95,0.95,0.17,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,3.12,3.12,100.92108,100.92108
1. PFS,2025,2025-01-01,NATIONAL,G0409,,Corf related serv 15 mins ea,0.0,0.71,0.71,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.72,0.72,23.289479999999998,23.289479999999998
1. PFS,2025,2025-01-01,NATIONAL,G0412,,Open tx iliac spine uni/bil,10.45,9.51,9.51,2.13,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,22.09,22.09,714.534185,714.534185
1. PFS,2025,2025-01-01,NATIONAL,G0413,,Pelvic ring fracture uni/bil,15.73,13.46,13.46,3.18,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,32.370000000000005,32.370000000000005,1047.056205,1047.056205
1. PFS,2025,2025-01-01,NATIONAL,G0414,,Pelvic ring fx treat int fix,14.65,12.95,12.95,2.98,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,30.580000000000002,30.580000000000002,989.15597,989.15597
1. PFS,2025,2025-01-01,NATIONAL,G0415,,Open tx post pelvic fxcture,20.93,16.26,16.26,4.46,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,41.65,41.65,1347.2317249999999,1347.2317249999999
1. PFS,2025,2025-01-01,NATIONAL,G0416,,"Prostate biopsy, any mthd",3.6,7.27,7.27,0.09,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,10.959999999999999,10.959999999999999,354.51764,354.51764
1. PFS,2025,2025-01-01,NATIONAL,G0416,TC,"Prostate biopsy, any mthd",0.0,5.76,5.76,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,5.8,5.8,187.60969999999998,187.60969999999998
1. PFS,2025,2025-01-01,NATIONAL,G0416,26,"Prostate biopsy, any mthd",3.6,1.51,1.51,0.05,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,5.16,5.16,166.90794,166.90794
1. PFS,2025,2025-01-01,NATIONAL,G0420,,Ed svc ckd ind per session,2.12,0.99,0.99,0.13,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,3.24,3.24,104.80266,104.80266
1. PFS,2025,2025-01-01,NATIONAL,G0421,,Ed svc ckd grp per session,0.5,0.25,0.25,0.03,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.78,0.78,25.23027,25.23027
1. PFS,2025,2025-01-01,NATIONAL,G0422,,Intens cardiac rehab w/exerc,1.99,1.79,1.79,0.12,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,3.9000000000000004,3.9000000000000004,126.15135000000001,126.15135000000001
1. PFS,2025,2025-01-01,NATIONAL,G0423,,Intens cardiac rehab no exer,1.99,1.79,1.79,0.12,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,3.9000000000000004,3.9000000000000004,126.15135000000001,126.15135000000001
1. PFS,2025,2025-01-01,NATIONAL,G0425,,Inpt/ed teleconsult30,1.92,0.66,0.66,0.17,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,2.75,2.75,88.95287499999999,88.95287499999999
1. PFS,2025,2025-01-01,NATIONAL,G0426,,Inpt/ed teleconsult50,2.61,1.06,1.06,0.22,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,3.89,3.89,125.827885,125.827885
1. PFS,2025,2025-01-01,NATIONAL,G0427,,Inpt/ed teleconsult70,3.86,1.39,1.39,0.28,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,5.53,5.53,178.876145,178.876145
1. PFS,2025,2025-01-01,NATIONAL,G0429,,Dermal filler injection(s),1.19,1.68,0.72,0.13,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,3.0,2.04,97.0395,65.98686
1. PFS,2025,2025-01-01,NATIONAL,G0438,,"Ppps, initial visit",2.6,2.2,2.2,0.16,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,4.960000000000001,4.960000000000001,160.43864000000002,160.43864000000002
1. PFS,2025,2025-01-01,NATIONAL,G0439,,"Ppps, subseq visit",1.92,1.86,1.86,0.13,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,3.91,3.91,126.474815,126.474815
1. PFS,2025,2025-01-01,NATIONAL,G0442,,Annual alcohol screen 15 min,0.18,0.34,0.08,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.53,0.27,17.143645,8.733555
1. PFS,2025,2025-01-01,NATIONAL,G0443,,Brief alcohol misuse counsel,0.6,0.34,0.26,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.98,0.9,31.699569999999998,29.11185
1. PFS,2025,2025-01-01,NATIONAL,G0444,,Depression screen annual,0.18,0.34,0.08,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.53,0.27,17.143645,8.733555
1. PFS,2025,2025-01-01,NATIONAL,G0445,,High inten beh couns std 30m,0.6,0.33,0.25,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.97,0.89,31.376105,28.788384999999998
1. PFS,2025,2025-01-01,NATIONAL,G0446,,Intens behave ther cardio dx,0.6,0.34,0.26,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.98,0.9,31.699569999999998,29.11185
1. PFS,2025,2025-01-01,NATIONAL,G0447,,Behavior counsel obesity 15m,0.6,0.34,0.26,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.98,0.9,31.699569999999998,29.11185
