CMS SCHEDULE,YEAR,EFF_DATE,GEOGRAPHY,HCPCS,SHORTDESC,FILE_NAME,NF RATE,F RATE
2. ASP,2025,2025-01-01,NATIONAL,90670,Pcv13 vaccine im,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,257.989,257.989
2. ASP,2025,2025-01-01,NATIONAL,90671,PCV15 vaccine IM,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,253.56,253.56
2. ASP,2025,2025-01-01,NATIONAL,90673,Riv3 vaccine no preserv im,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,83.492,83.492
2. ASP,2025,2025-01-01,NATIONAL,90675,Rabies vaccine im,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,327.776,327.776
2. ASP,2025,2025-01-01,NATIONAL,90677,Pcv20 vaccine im,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,298.036,298.036
2. ASP,2025,2025-01-01,NATIONAL,90684,PCV21 VACCINE IM,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,327.893,327.893
2. ASP,2025,2025-01-01,NATIONAL,90714,Td vacc no presv 7 yrs+ im,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,33.483,33.483
2. ASP,2025,2025-01-01,NATIONAL,90715,Tdap vaccine 7 yrs/> im,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,38.628,38.628
2. ASP,2025,2025-01-01,NATIONAL,90732,Ppsv23 vacc 2 yrs+ subq/im,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,133.472,133.472
2. ASP,2025,2025-01-01,NATIONAL,90739,Hepb vacc 2 dose adult im,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,168.298,168.298
2. ASP,2025,2025-01-01,NATIONAL,90740,Hepb vacc 3 dose immunsup im,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,158.152,158.152
2. ASP,2025,2025-01-01,NATIONAL,90743,"Hep b vacc, adol, 2 dose, im",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,75.145,75.145
2. ASP,2025,2025-01-01,NATIONAL,90744,Hepb vacc 3 dose ped/adol im,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,30.77,30.77
2. ASP,2025,2025-01-01,NATIONAL,90746,Hepb vaccine 3 dose adult im,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,70.376,70.376
2. ASP,2025,2025-01-01,NATIONAL,90747,Hepb vacc 4 dose immunsup im,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,140.752,140.752
2. ASP,2025,2025-01-01,NATIONAL,90759,Hep b vac 3ag 10mcg 3 dos im,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,73.815,73.815
2. ASP,2025,2025-01-01,NATIONAL,91304,SARSCOV2 VAC 5MCG/0.5ML IM,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,161.538,161.538
2. ASP,2025,2025-01-01,NATIONAL,91318,SARSCOV2 VAC 3MCG TRS-SUC IM,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,65.55,65.55
2. ASP,2025,2025-01-01,NATIONAL,91319,SARSCV2 VAC 10MCG TRS-SUC IM,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,87.78,87.78
2. ASP,2025,2025-01-01,NATIONAL,91320,SARSCV2 VAC 30MCG TRS-SUC IM,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,155.895,155.895
2. ASP,2025,2025-01-01,NATIONAL,91321,SARSCOV2 VAC 25 MCG/.25ML IM,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,147.06,147.06
2. ASP,2025,2025-01-01,NATIONAL,91322,SARSCOV2 VAC 50 MCG/0.5ML IM,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,161.652,161.652
2. ASP,2025,2025-01-01,NATIONAL,A9573,Inj gadopiclenol,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,3.581,3.581
2. ASP,2025,2025-01-01,NATIONAL,A9575,Inj gadoterate meglumi 0.1ml,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.117,0.117
2. ASP,2025,2025-01-01,NATIONAL,A9576,Inj prohance multipack,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1.46,1.46
2. ASP,2025,2025-01-01,NATIONAL,A9577,Inj multihance,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1.824,1.824
2. ASP,2025,2025-01-01,NATIONAL,A9578,Inj multihance multipack,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1.793,1.793
2. ASP,2025,2025-01-01,NATIONAL,A9579,"Gad-base mr contrast nos,1ml",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1.484,1.484
2. ASP,2025,2025-01-01,NATIONAL,A9581,Gadoxetate disodium inj,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,14.701,14.701
2. ASP,2025,2025-01-01,NATIONAL,A9585,Gadobutrol injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.278,0.278
2. ASP,2025,2025-01-01,NATIONAL,A9589,Insti hexaminolevulinate hcl,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1378.71,1378.71
2. ASP,2025,2025-01-01,NATIONAL,A9606,Radium ra223 dichloride ther,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,,
2. ASP,2025,2025-01-01,NATIONAL,J0121,"Inj., omadacycline, 1 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,3.916,3.916
2. ASP,2025,2025-01-01,NATIONAL,J0122,"Inj., eravacycline, 1 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1.21,1.21
2. ASP,2025,2025-01-01,NATIONAL,J0129,Abatacept injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,43.797,43.797
2. ASP,2025,2025-01-01,NATIONAL,J0131,"Inj, acetaminophen (nos)",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.048,0.048
2. ASP,2025,2025-01-01,NATIONAL,J0132,Acetylcysteine injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.545,0.545
2. ASP,2025,2025-01-01,NATIONAL,J0133,Acyclovir injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.051,0.051
2. ASP,2025,2025-01-01,NATIONAL,J0134,Inj acetaminophen -fresenius,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.042,0.042
2. ASP,2025,2025-01-01,NATIONAL,J0136,"Inj, acetaminophen (b braun)",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.049,0.049
2. ASP,2025,2025-01-01,NATIONAL,J0137,"Inj, acetaminophen (hikma)",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.048,0.048
2. ASP,2025,2025-01-01,NATIONAL,J0153,Adenosine inj 1mg,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.316,0.316
2. ASP,2025,2025-01-01,NATIONAL,J0171,Adrenalin epinephrine inject,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.762,0.762
2. ASP,2025,2025-01-01,NATIONAL,J0172,"Inj, aducanumab-avwa, 2 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,5.978,5.978
2. ASP,2025,2025-01-01,NATIONAL,J0173,"Inj, epinephrine (belcher)",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,2.384,2.384
2. ASP,2025,2025-01-01,NATIONAL,J0174,"Inj, lecanemab-irmb, 1 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1.33,1.33
2. ASP,2025,2025-01-01,NATIONAL,J0175,"Inj, donanemab-azbt, 2 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,4.094,4.094
2. ASP,2025,2025-01-01,NATIONAL,J0177,"Inj, aflibercept hd, 1 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,329.056,329.056
2. ASP,2025,2025-01-01,NATIONAL,J0178,Aflibercept injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,801.065,801.065
2. ASP,2025,2025-01-01,NATIONAL,J0179,"Inj, brolucizumab-dbll, 1 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,338.891,338.891
2. ASP,2025,2025-01-01,NATIONAL,J0180,Agalsidase beta injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,223.517,223.517
2. ASP,2025,2025-01-01,NATIONAL,J0185,"Inj., aprepitant, 1 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1.701,1.701
2. ASP,2025,2025-01-01,NATIONAL,J0202,"Injection, alemtuzumab",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,2413.358,2413.358
2. ASP,2025,2025-01-01,NATIONAL,J0206,Inj allopurinol sodium 1 mg,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,4.395,4.395
2. ASP,2025,2025-01-01,NATIONAL,J0217,Inj velmanase alfa-tycv 1 mg,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,440.808,440.808
2. ASP,2025,2025-01-01,NATIONAL,J0218,Inj olipudase alfa-rpcp 1mg,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,381.579,381.579
2. ASP,2025,2025-01-01,NATIONAL,J0219,Inj aval alfa-nqpt 4mg,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,77.861,77.861
2. ASP,2025,2025-01-01,NATIONAL,J0221,Lumizyme injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,201.64,201.64
2. ASP,2025,2025-01-01,NATIONAL,J0222,"Inj., patisiran, 0.1 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,98.833,98.833
2. ASP,2025,2025-01-01,NATIONAL,J0223,Inj givosiran 0.5 mg,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,115.466,115.466
2. ASP,2025,2025-01-01,NATIONAL,J0224,"Inj. lumasiran, 0.5 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,318.006,318.006
2. ASP,2025,2025-01-01,NATIONAL,J0225,"Inj, vutrisiran, 1 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,4917.749,4917.749
2. ASP,2025,2025-01-01,NATIONAL,J0248,"Inj, remdesivir, 1 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,6.354,6.354
2. ASP,2025,2025-01-01,NATIONAL,J0256,Alpha 1 proteinase inhibitor,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,5.091,5.091
2. ASP,2025,2025-01-01,NATIONAL,J0257,Glassia injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,5.512,5.512
2. ASP,2025,2025-01-01,NATIONAL,J0278,Amikacin sulfate injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.54,0.54
2. ASP,2025,2025-01-01,NATIONAL,J0280,Aminophyllin 250 mg inj,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,5.17,5.17
2. ASP,2025,2025-01-01,NATIONAL,J0282,Amiodarone hcl,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.394,0.394
2. ASP,2025,2025-01-01,NATIONAL,J0283,"Inj, amiodarone (nexterone)",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,2.524,2.524
2. ASP,2025,2025-01-01,NATIONAL,J0285,Amphotericin b,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,50.066,50.066
2. ASP,2025,2025-01-01,NATIONAL,J0289,Amphotericin b liposome inj,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,23.975,23.975
2. ASP,2025,2025-01-01,NATIONAL,J0290,Ampicillin 500 mg inj,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.714,0.714
2. ASP,2025,2025-01-01,NATIONAL,J0291,"Inj., plazomicin, 5 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,3.574,3.574
2. ASP,2025,2025-01-01,NATIONAL,J0295,Ampicillin sulbactam 1.5 gm,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1.641,1.641
2. ASP,2025,2025-01-01,NATIONAL,J0348,Anidulafungin injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.507,0.507
2. ASP,2025,2025-01-01,NATIONAL,J0349,"Inj, rezafungin, 1 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,10.424,10.424
2. ASP,2025,2025-01-01,NATIONAL,J0360,Hydralazine hcl injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,4.077,4.077
2. ASP,2025,2025-01-01,NATIONAL,J0401,"Inj, abilify maintena, 1 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,7.07,7.07
2. ASP,2025,2025-01-01,NATIONAL,J0402,"Inj, abilify asimtufii, 1 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,5.917,5.917
2. ASP,2025,2025-01-01,NATIONAL,J0456,Azithromycin,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,2.128,2.128
2. ASP,2025,2025-01-01,NATIONAL,J0457,"Injection, aztreonam, 100 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,2.071,2.071
2. ASP,2025,2025-01-01,NATIONAL,J0461,Atropine sulfate injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.107,0.107
2. ASP,2025,2025-01-01,NATIONAL,J0475,Baclofen 10 mg injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,173.837,173.837
2. ASP,2025,2025-01-01,NATIONAL,J0476,Baclofen intrathecal trial,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,40.728,40.728
2. ASP,2025,2025-01-01,NATIONAL,J0480,Basiliximab,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,4657.581,4657.581
2. ASP,2025,2025-01-01,NATIONAL,J0485,Belatacept injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,3.933,3.933
2. ASP,2025,2025-01-01,NATIONAL,J0490,Belimumab injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,54.908,54.908
2. ASP,2025,2025-01-01,NATIONAL,J0491,Inj anifrolumab-fnia 1mg,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,17.763,17.763
2. ASP,2025,2025-01-01,NATIONAL,J0500,Dicyclomine injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,14.904,14.904
2. ASP,2025,2025-01-01,NATIONAL,J0515,Inj benztropine mesylate,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,16.888,16.888
2. ASP,2025,2025-01-01,NATIONAL,J0517,"Inj., benralizumab, 1 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,165.894,165.894
2. ASP,2025,2025-01-01,NATIONAL,J0558,Peng benzathine/procaine inj,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,17.368,17.368
2. ASP,2025,2025-01-01,NATIONAL,J0561,Penicillin g benzathine inj,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,26.821,26.821
2. ASP,2025,2025-01-01,NATIONAL,J0565,"Inj, bezlotoxumab, 10 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,39.865,39.865
2. ASP,2025,2025-01-01,NATIONAL,J0577,"Inj, brixadi, 7 days or less",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,428.656,428.656
2. ASP,2025,2025-01-01,NATIONAL,J0578,"Inj brixadi, more than 7 day",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1714.625,1714.625
2. ASP,2025,2025-01-01,NATIONAL,J0583,Bivalirudin,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.163,0.163
2. ASP,2025,2025-01-01,NATIONAL,J0584,"Injection, burosumab-twza 1m",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,469.726,469.726
2. ASP,2025,2025-01-01,NATIONAL,J0585,"Injection,onabotulinumtoxina",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,6.471,6.471
2. ASP,2025,2025-01-01,NATIONAL,J0586,Abobotulinumtoxina,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,8.526,8.526
2. ASP,2025,2025-01-01,NATIONAL,J0587,"Inj, rimabotulinumtoxinb",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,12.991,12.991
2. ASP,2025,2025-01-01,NATIONAL,J0588,Incobotulinumtoxin a,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,5.305,5.305
2. ASP,2025,2025-01-01,NATIONAL,J0592,Buprenorphine hydrochloride,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,4.303,4.303
2. ASP,2025,2025-01-01,NATIONAL,J0594,Busulfan injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1.416,1.416
2. ASP,2025,2025-01-01,NATIONAL,J0595,Butorphanol tartrate 1 mg,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,5.68,5.68
2. ASP,2025,2025-01-01,NATIONAL,J0596,"Injection, ruconest",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,34.665,34.665
2. ASP,2025,2025-01-01,NATIONAL,J0597,"C-1 esterase, berinert",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,72.456,72.456
2. ASP,2025,2025-01-01,NATIONAL,J0598,"C-1 esterase, cinryze",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,64.066,64.066
2. ASP,2025,2025-01-01,NATIONAL,J0600,Edetate calcium disodium inj,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,6084.101,6084.101
2. ASP,2025,2025-01-01,NATIONAL,J0612,"Inj, calcium gluconate, nos",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.036,0.036
2. ASP,2025,2025-01-01,NATIONAL,J0613,Calcium glucon (wg critical),section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.106,0.106
2. ASP,2025,2025-01-01,NATIONAL,J0630,Calcitonin salmon injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1142.411,1142.411
2. ASP,2025,2025-01-01,NATIONAL,J0637,Caspofungin acetate,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,5.055,5.055
2. ASP,2025,2025-01-01,NATIONAL,J0638,Canakinumab injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,135.878,135.878
2. ASP,2025,2025-01-01,NATIONAL,J0640,Leucovorin calcium injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,4.162,4.162
2. ASP,2025,2025-01-01,NATIONAL,J0641,Inj levoleucovorin nos 0.5mg,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.042,0.042
2. ASP,2025,2025-01-01,NATIONAL,J0642,"Injection, khapzory, 0.5 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1.35,1.35
2. ASP,2025,2025-01-01,NATIONAL,J0650,"Inj, levothyroxine nos 10mcg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,5.39,5.39
2. ASP,2025,2025-01-01,NATIONAL,J0651,"Inj, levothyroxine, freskabi",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,3.818,3.818
2. ASP,2025,2025-01-01,NATIONAL,J0652,"Inj, levothyroxine, hikma",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,5.136,5.136
2. ASP,2025,2025-01-01,NATIONAL,J0665,"Inj, bupivacaine, nos, 0.5mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.01,0.01
2. ASP,2025,2025-01-01,NATIONAL,J0666,"Inj, bupivacaine liposome",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1.445,1.445
2. ASP,2025,2025-01-01,NATIONAL,J0670,Inj mepivacaine hcl/10 ml,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,3.554,3.554
2. ASP,2025,2025-01-01,NATIONAL,J0687,Inj cefazolin (wg crit care),section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1.109,1.109
2. ASP,2025,2025-01-01,NATIONAL,J0688,"Inj cefazolin sodium, hikma",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1.003,1.003
2. ASP,2025,2025-01-01,NATIONAL,J0689,"Inj cefazolin sodium, baxter",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1.233,1.233
2. ASP,2025,2025-01-01,NATIONAL,J0690,Cefazolin sodium injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.814,0.814
2. ASP,2025,2025-01-01,NATIONAL,J0692,Cefepime hcl for injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1.238,1.238
2. ASP,2025,2025-01-01,NATIONAL,J0694,Cefoxitin sodium injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,4.452,4.452
2. ASP,2025,2025-01-01,NATIONAL,J0695,Inj ceftolozane tazobactam,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,8.149,8.149
2. ASP,2025,2025-01-01,NATIONAL,J0696,Ceftriaxone sodium injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.446,0.446
2. ASP,2025,2025-01-01,NATIONAL,J0697,Sterile cefuroxime injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1.89,1.89
2. ASP,2025,2025-01-01,NATIONAL,J0699,"Inj, cefiderocol, 10 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,2.282,2.282
2. ASP,2025,2025-01-01,NATIONAL,J0701,Inj. cefepime hcl (baxter),section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,5.737,5.737
2. ASP,2025,2025-01-01,NATIONAL,J0702,Betamethasone acet&sod phosp,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,7.51,7.51
2. ASP,2025,2025-01-01,NATIONAL,J0703,"Inj, cefepime hcl (b braun)",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,4.923,4.923
2. ASP,2025,2025-01-01,NATIONAL,J0712,Ceftaroline fosamil inj,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,3.946,3.946
2. ASP,2025,2025-01-01,NATIONAL,J0713,Inj ceftazidime per 500 mg,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1.648,1.648
2. ASP,2025,2025-01-01,NATIONAL,J0714,Ceftazidime and avibactam,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,100.727,100.727
2. ASP,2025,2025-01-01,NATIONAL,J0717,Certolizumab pegol inj 1mg,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,3.898,3.898
2. ASP,2025,2025-01-01,NATIONAL,J0725,Chorionic gonadotropin/1000u,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,19.673,19.673
2. ASP,2025,2025-01-01,NATIONAL,J0735,Clonidine hydrochloride,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,16.738,16.738
2. ASP,2025,2025-01-01,NATIONAL,J0736,"Inj, clindamycin phosp 300mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,2.134,2.134
2. ASP,2025,2025-01-01,NATIONAL,J0737,"Inj, clindamycin (baxter)",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,2.605,2.605
2. ASP,2025,2025-01-01,NATIONAL,J0739,"Hiv prep, inj, cabotegravir",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,6.892,6.892
2. ASP,2025,2025-01-01,NATIONAL,J0740,Cidofovir injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,301.103,301.103
2. ASP,2025,2025-01-01,NATIONAL,J0741,"Inj, cabote rilpivir 2mg 3mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,23.174,23.174
2. ASP,2025,2025-01-01,NATIONAL,J0742,Inj imip 4 cilas 4 releb 2mg,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,2.499,2.499
2. ASP,2025,2025-01-01,NATIONAL,J0743,Cilastatin sodium injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,7.199,7.199
2. ASP,2025,2025-01-01,NATIONAL,J0744,Ciprofloxacin iv,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,0.828,0.828
2. ASP,2025,2025-01-01,NATIONAL,J0750,"Hiv prep, ftc/tdf 200/300mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1.817,1.817
2. ASP,2025,2025-01-01,NATIONAL,J0751,"Hiv prep, ftc/taf 200/25mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,71.289,71.289
2. ASP,2025,2025-01-01,NATIONAL,J0770,Colistimethate sodium inj,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,12.161,12.161
2. ASP,2025,2025-01-01,NATIONAL,J0775,"Collagenase, clost hist inj",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,70.887,70.887
2. ASP,2025,2025-01-01,NATIONAL,J0780,Prochlorperazine injection,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,2.953,2.953
2. ASP,2025,2025-01-01,NATIONAL,J0791,Inj crizanlizumab-tmca 5mg,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,128.68,128.68
2. ASP,2025,2025-01-01,NATIONAL,J0801,Inj. acthar gel to 40 units,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,3827.827,3827.827
2. ASP,2025,2025-01-01,NATIONAL,J0802,"Inj. (ani), up to 40 units",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,3468.848,3468.848
2. ASP,2025,2025-01-01,NATIONAL,J0834,"Inj., cosyntropin, 0.25 mg",section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,33.433,33.433
2. ASP,2025,2025-01-01,NATIONAL,J0840,Crotalidae poly immune fab,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,1779.644,1779.644
