CMS SCHEDULE,YEAR,EFF_DATE,GEOGRAPHY,HCPCS,SHORTDESC,FILE_NAME,NF RATE,F RATE
5. ASC,2025,2025-01-01,NATIONAL,0332T,Heart symp image plnr spect,January_2025_ASC_Addenda.xlsx,712.7,712.7
5. ASC,2025,2025-01-01,NATIONAL,0335T,Insj sinus tarsi implant,January_2025_ASC_Addenda.xlsx,5544.9,5544.9
5. ASC,2025,2025-01-01,NATIONAL,0338T,Trnscth renal symp denrv unl,January_2025_ASC_Addenda.xlsx,2629.62,2629.62
5. ASC,2025,2025-01-01,NATIONAL,0339T,Trnscth renal symp denrv bil,January_2025_ASC_Addenda.xlsx,3740.44,3740.44
5. ASC,2025,2025-01-01,NATIONAL,0342T,Thxp apheresis w/hdl delip,January_2025_ASC_Addenda.xlsx,2515.29,2515.29
5. ASC,2025,2025-01-01,NATIONAL,0347T,Ins bone device for rsa,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0348T,Rsa spine exam,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0349T,Rsa upper extr exam,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0350T,Rsa lower extr exam,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0351T,Intraop oct brst/node spec,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0353T,Intraop oct breast cavity,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0379T,Vis field assmnt tech suppt,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0394T,Hdr elctrnc skn surf brchytx,January_2025_ASC_Addenda.xlsx,141.2,141.2
5. ASC,2025,2025-01-01,NATIONAL,0395T,Hdr elctr ntrst/ntrcv brchtx,January_2025_ASC_Addenda.xlsx,376.27,376.27
5. ASC,2025,2025-01-01,NATIONAL,0397T,Ercp w/optical endomicroscpy,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0402T,Colgn crs-link crn&pachymtry,January_2025_ASC_Addenda.xlsx,1026.0,1026.0
5. ASC,2025,2025-01-01,NATIONAL,0408T,Insj/rplc cardiac modulj sys,January_2025_ASC_Addenda.xlsx,25985.75,25985.75
5. ASC,2025,2025-01-01,NATIONAL,0409T,Insj/rplc car modulj pls gn,January_2025_ASC_Addenda.xlsx,21078.53,21078.53
5. ASC,2025,2025-01-01,NATIONAL,0410T,Insj/rplc car modulj atr elt,January_2025_ASC_Addenda.xlsx,6997.37,6997.37
5. ASC,2025,2025-01-01,NATIONAL,0411T,Insj/rplc car modulj vnt elt,January_2025_ASC_Addenda.xlsx,4366.57,4366.57
5. ASC,2025,2025-01-01,NATIONAL,0412T,Rmvl cardiac modulj pls gen,January_2025_ASC_Addenda.xlsx,1953.83,1953.83
5. ASC,2025,2025-01-01,NATIONAL,0413T,Rmvl car modulj tranvns elt,January_2025_ASC_Addenda.xlsx,1953.83,1953.83
5. ASC,2025,2025-01-01,NATIONAL,0414T,Rmvl & rpl car modulj pls gn,January_2025_ASC_Addenda.xlsx,18813.84,18813.84
5. ASC,2025,2025-01-01,NATIONAL,0415T,Repos car modulj tranvns elt,January_2025_ASC_Addenda.xlsx,332.31,332.31
5. ASC,2025,2025-01-01,NATIONAL,0416T,Reloc skin pocket pls gen,January_2025_ASC_Addenda.xlsx,981.09,981.09
5. ASC,2025,2025-01-01,NATIONAL,0419T,Dstrj neurofibroma xtnsv,January_2025_ASC_Addenda.xlsx,328.29,328.29
5. ASC,2025,2025-01-01,NATIONAL,0420T,Dstrj neurofibroma xtnsv,January_2025_ASC_Addenda.xlsx,328.29,328.29
5. ASC,2025,2025-01-01,NATIONAL,0421T,Waterjet prostate abltj cmpl,January_2025_ASC_Addenda.xlsx,6756.29,6756.29
5. ASC,2025,2025-01-01,NATIONAL,0422T,Tactile breast img uni/bi,January_2025_ASC_Addenda.xlsx,48.59,48.59
5. ASC,2025,2025-01-01,NATIONAL,0437T,Impltj synth rnfcmt abdl wal,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0439T,Myocrd contrast prfuj echo,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0440T,Abltj perc uxtr/perph nrv,January_2025_ASC_Addenda.xlsx,1503.58,1503.58
5. ASC,2025,2025-01-01,NATIONAL,0441T,Abltj perc lxtr/perph nrv,January_2025_ASC_Addenda.xlsx,1441.57,1441.57
5. ASC,2025,2025-01-01,NATIONAL,0442T,Abltj perc plex/trncl nrv,January_2025_ASC_Addenda.xlsx,4626.66,4626.66
5. ASC,2025,2025-01-01,NATIONAL,0443T,R-t spctrl alys prst8 tiss,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0444T,1st plmt drug elut oc ins,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0445T,Sbsqt plmt drug elut oc ins,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0446T,Insj impltbl glucose sensor,January_2025_ASC_Addenda.xlsx,981.09,981.09
5. ASC,2025,2025-01-01,NATIONAL,0447T,Rmvl impltbl glucose sensor,January_2025_ASC_Addenda.xlsx,49.81,49.81
5. ASC,2025,2025-01-01,NATIONAL,0448T,Remvl insj impltbl gluc sens,January_2025_ASC_Addenda.xlsx,981.09,981.09
5. ASC,2025,2025-01-01,NATIONAL,0449T,Insj aqueous drain dev 1st,January_2025_ASC_Addenda.xlsx,3898.03,3898.03
5. ASC,2025,2025-01-01,NATIONAL,0450T,Insj aqueous drain dev each,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0479T,Fxjl abl lsr 1st 100 sq cm,January_2025_ASC_Addenda.xlsx,328.29,328.29
5. ASC,2025,2025-01-01,NATIONAL,0480T,Fxjl abl lsr ea addl 100sqcm,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0510T,Rmvl sinus tarsi implant,January_2025_ASC_Addenda.xlsx,1579.16,1579.16
5. ASC,2025,2025-01-01,NATIONAL,0511T,Rmvl&rinsj sinus tarsi implt,January_2025_ASC_Addenda.xlsx,4995.42,4995.42
5. ASC,2025,2025-01-01,NATIONAL,0512T,Esw integ wnd hlg 1st wnd,January_2025_ASC_Addenda.xlsx,106.77,106.77
5. ASC,2025,2025-01-01,NATIONAL,0513T,Esw integ wnd hlg ea addl,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0523T,Ntrapx c ffr w/3d funcjl map,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0524T,Ev cath dir chem abltj w/img,January_2025_ASC_Addenda.xlsx,2125.19,2125.19
5. ASC,2025,2025-01-01,NATIONAL,0525T,Insj/rplcmt compl iims,January_2025_ASC_Addenda.xlsx,14295.99,14295.99
5. ASC,2025,2025-01-01,NATIONAL,0526T,Insj/rplcmt iims eltrd only,January_2025_ASC_Addenda.xlsx,6997.37,6997.37
5. ASC,2025,2025-01-01,NATIONAL,0527T,Insj/rplcmt iims implt mntr,January_2025_ASC_Addenda.xlsx,6658.3,6658.3
5. ASC,2025,2025-01-01,NATIONAL,0530T,Removal complete iims,January_2025_ASC_Addenda.xlsx,1953.83,1953.83
5. ASC,2025,2025-01-01,NATIONAL,0531T,Removal iims electrode only,January_2025_ASC_Addenda.xlsx,1953.83,1953.83
5. ASC,2025,2025-01-01,NATIONAL,0532T,Removal iims implt mntr only,January_2025_ASC_Addenda.xlsx,1953.83,1953.83
5. ASC,2025,2025-01-01,NATIONAL,0581T,Abltj mal brst tum perq crtx,January_2025_ASC_Addenda.xlsx,2210.46,2210.46
5. ASC,2025,2025-01-01,NATIONAL,0583T,Tmpst auto tube dlvr sys,January_2025_ASC_Addenda.xlsx,833.21,833.21
5. ASC,2025,2025-01-01,NATIONAL,0587T,Perq impltj/rplcmt isdns ptn,January_2025_ASC_Addenda.xlsx,5955.68,5955.68
5. ASC,2025,2025-01-01,NATIONAL,0588T,Revision/removal isdns ptn,January_2025_ASC_Addenda.xlsx,1944.33,1944.33
5. ASC,2025,2025-01-01,NATIONAL,0594T,Osteot hum xtrnl lngth dev,January_2025_ASC_Addenda.xlsx,4449.87,4449.87
5. ASC,2025,2025-01-01,NATIONAL,0596T,Temp fml iu vlv-pmp 1st insj,January_2025_ASC_Addenda.xlsx,315.93,315.93
5. ASC,2025,2025-01-01,NATIONAL,0597T,Temp fml iu valve-pmp rplcmt,January_2025_ASC_Addenda.xlsx,315.93,315.93
5. ASC,2025,2025-01-01,NATIONAL,0598T,Ncntc r-t fluor wnd img 1st,January_2025_ASC_Addenda.xlsx,166.21,166.21
5. ASC,2025,2025-01-01,NATIONAL,0599T,Ncntc r-t fluor wnd img ea,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0600T,Ire abltj 1+tum organ perq,January_2025_ASC_Addenda.xlsx,7122.59,7122.59
5. ASC,2025,2025-01-01,NATIONAL,0601T,Ire abltj 1+tumors open,January_2025_ASC_Addenda.xlsx,7303.81,7303.81
5. ASC,2025,2025-01-01,NATIONAL,0609T,Mrs disc pain acquisj data,January_2025_ASC_Addenda.xlsx,130.28,130.28
5. ASC,2025,2025-01-01,NATIONAL,0611T,Mrs disc pain alg alys data,January_2025_ASC_Addenda.xlsx,130.28,130.28
5. ASC,2025,2025-01-01,NATIONAL,0614T,Rmvl&rplcmt ss impl dfb pg,January_2025_ASC_Addenda.xlsx,18873.11,18873.11
5. ASC,2025,2025-01-01,NATIONAL,0619T,Cysto w/prst8 commissurotomy,January_2025_ASC_Addenda.xlsx,6428.02,6428.02
5. ASC,2025,2025-01-01,NATIONAL,0620T,Evasc ven artlz tibl/prnl vn,January_2025_ASC_Addenda.xlsx,31714.48,31714.48
5. ASC,2025,2025-01-01,NATIONAL,0621T,Trabeculostomy interno laser,January_2025_ASC_Addenda.xlsx,2654.49,2654.49
5. ASC,2025,2025-01-01,NATIONAL,0627T,Perq njx algc fluor lmbr 1st,January_2025_ASC_Addenda.xlsx,11286.74,11286.74
5. ASC,2025,2025-01-01,NATIONAL,0628T,Perq njx algc fluor lmbr ea,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0629T,Perq njx algc ct lmbr 1st,January_2025_ASC_Addenda.xlsx,11814.98,11814.98
5. ASC,2025,2025-01-01,NATIONAL,0630T,Perq njx algc ct lmbr ea,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0632T,Perq tcat us abltj nrv p-art,January_2025_ASC_Addenda.xlsx,12304.24,12304.24
5. ASC,2025,2025-01-01,NATIONAL,0633T,Ct breast w/3d uni c-,January_2025_ASC_Addenda.xlsx,56.71,56.71
5. ASC,2025,2025-01-01,NATIONAL,0634T,Ct breast w/3d uni c+,January_2025_ASC_Addenda.xlsx,96.71,96.71
5. ASC,2025,2025-01-01,NATIONAL,0635T,Ct breast w/3d uni c-/c+,January_2025_ASC_Addenda.xlsx,96.71,96.71
5. ASC,2025,2025-01-01,NATIONAL,0636T,Ct breast w/3d bi c-,January_2025_ASC_Addenda.xlsx,130.28,130.28
5. ASC,2025,2025-01-01,NATIONAL,0637T,Ct breast w/3d bi c+,January_2025_ASC_Addenda.xlsx,192.74,192.74
5. ASC,2025,2025-01-01,NATIONAL,0638T,Ct breast w/3d bi c-/c+,January_2025_ASC_Addenda.xlsx,192.74,192.74
5. ASC,2025,2025-01-01,NATIONAL,0644T,Tcat rmvl/dblk icar mas perq,January_2025_ASC_Addenda.xlsx,3938.06,3938.06
5. ASC,2025,2025-01-01,NATIONAL,0647T,Insj gtube perq mag gastrpxy,January_2025_ASC_Addenda.xlsx,864.15,864.15
5. ASC,2025,2025-01-01,NATIONAL,0648T,Quan mr tis wo mri 1orgn,January_2025_ASC_Addenda.xlsx,510.25,510.25
5. ASC,2025,2025-01-01,NATIONAL,0651T,Mag ctrld capsule endoscopy,January_2025_ASC_Addenda.xlsx,698.44,698.44
5. ASC,2025,2025-01-01,NATIONAL,0652T,Egd flx transnasal dx br/wa,January_2025_ASC_Addenda.xlsx,864.15,864.15
5. ASC,2025,2025-01-01,NATIONAL,0653T,Egd flx transnasal bx 1/mlt,January_2025_ASC_Addenda.xlsx,864.15,864.15
5. ASC,2025,2025-01-01,NATIONAL,0654T,Egd flx transnasal tube/cath,January_2025_ASC_Addenda.xlsx,1875.81,1875.81
5. ASC,2025,2025-01-01,NATIONAL,0655T,Tprnl focal abltj mal prst8,January_2025_ASC_Addenda.xlsx,2521.6,2521.6
5. ASC,2025,2025-01-01,NATIONAL,0660T,Implt ant sgm io nbio rx sys,January_2025_ASC_Addenda.xlsx,2094.33,2094.33
5. ASC,2025,2025-01-01,NATIONAL,0661T,Rmvl&rimpltj ant sgm implt,January_2025_ASC_Addenda.xlsx,2094.33,2094.33
5. ASC,2025,2025-01-01,NATIONAL,0671T,Insj ant sgm aq drg dev 1+,January_2025_ASC_Addenda.xlsx,4106.89,4106.89
5. ASC,2025,2025-01-01,NATIONAL,0673T,Abltj b9 thyr ndul perq lasr,January_2025_ASC_Addenda.xlsx,708.28,708.28
5. ASC,2025,2025-01-01,NATIONAL,0674T,Laps insj nw/rpcmt prm isdss,January_2025_ASC_Addenda.xlsx,26217.29,26217.29
5. ASC,2025,2025-01-01,NATIONAL,0675T,Laps insj nw/rpcmt isdss 1ld,January_2025_ASC_Addenda.xlsx,8481.39,8481.39
5. ASC,2025,2025-01-01,NATIONAL,0676T,Laps insj nw/rpcmt isdss ea,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0677T,Laps repos lead isdss 1st ld,January_2025_ASC_Addenda.xlsx,6205.51,6205.51
5. ASC,2025,2025-01-01,NATIONAL,0678T,Laps repos lead isdss ea add,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0679T,Laps rmvl lead isdss,January_2025_ASC_Addenda.xlsx,4896.0,4896.0
5. ASC,2025,2025-01-01,NATIONAL,0680T,Insj/rplcmt pg only isdss,January_2025_ASC_Addenda.xlsx,19839.37,19839.37
5. ASC,2025,2025-01-01,NATIONAL,0681T,Rlcj pulse gen only isdss,January_2025_ASC_Addenda.xlsx,1944.33,1944.33
5. ASC,2025,2025-01-01,NATIONAL,0682T,Removal pulse gen only isdss,January_2025_ASC_Addenda.xlsx,1944.33,1944.33
5. ASC,2025,2025-01-01,NATIONAL,0686T,Histotripsy mal hepatcel tis,January_2025_ASC_Addenda.xlsx,9394.76,9394.76
5. ASC,2025,2025-01-01,NATIONAL,0689T,Quan us tis charac w/o dx us,January_2025_ASC_Addenda.xlsx,48.59,48.59
5. ASC,2025,2025-01-01,NATIONAL,0697T,Quan mr tis wo mri mlt orgn,January_2025_ASC_Addenda.xlsx,510.25,510.25
5. ASC,2025,2025-01-01,NATIONAL,0698T,Quan mr tiss w/mri mlt orgn,January_2025_ASC_Addenda.xlsx,510.25,510.25
5. ASC,2025,2025-01-01,NATIONAL,0699T,Njx pst chmbr eye medication,January_2025_ASC_Addenda.xlsx,1214.31,1214.31
5. ASC,2025,2025-01-01,NATIONAL,0707T,Njx b1 sub mtrl sbchdrl dfct,January_2025_ASC_Addenda.xlsx,2286.44,2286.44
5. ASC,2025,2025-01-01,NATIONAL,0714T,Tpla b9 prst8 hyprplsa<50ml,January_2025_ASC_Addenda.xlsx,2521.6,2521.6
5. ASC,2025,2025-01-01,NATIONAL,0717T,Adrc ther prtl rc tear,January_2025_ASC_Addenda.xlsx,1957.33,1957.33
5. ASC,2025,2025-01-01,NATIONAL,0718T,Adrc ther prtl rc tear njx,January_2025_ASC_Addenda.xlsx,1957.33,1957.33
5. ASC,2025,2025-01-01,NATIONAL,0737T,Xenograft impltj artclr surf,January_2025_ASC_Addenda.xlsx,9339.16,9339.16
5. ASC,2025,2025-01-01,NATIONAL,0784T,Ins/rplmt eltrd ra spi nstim,January_2025_ASC_Addenda.xlsx,8481.39,8481.39
5. ASC,2025,2025-01-01,NATIONAL,0785T,Revj/rmvl nea spi w/nstim,January_2025_ASC_Addenda.xlsx,1944.33,1944.33
5. ASC,2025,2025-01-01,NATIONAL,0787T,Revj/rmvl nea sac w/nstim,January_2025_ASC_Addenda.xlsx,1944.33,1944.33
5. ASC,2025,2025-01-01,NATIONAL,0793T,Prq tcat thrm ablt nrv p-art,January_2025_ASC_Addenda.xlsx,12304.24,12304.24
5. ASC,2025,2025-01-01,NATIONAL,0797T,Tcat ins 2chmbr ldls pm rv,January_2025_ASC_Addenda.xlsx,13411.25,13411.25
5. ASC,2025,2025-01-01,NATIONAL,0800T,Tcat rmvl 2chmbr ldls pm rv,January_2025_ASC_Addenda.xlsx,2013.62,2013.62
5. ASC,2025,2025-01-01,NATIONAL,0803T,Tcat rmv&rpl2chmb ldls pm rv,January_2025_ASC_Addenda.xlsx,13411.25,13411.25
5. ASC,2025,2025-01-01,NATIONAL,0810T,Subrta njx rx agt w/vtrc,January_2025_ASC_Addenda.xlsx,2281.79,2281.79
5. ASC,2025,2025-01-01,NATIONAL,0813T,Egd vol adjmt bariatric balo,January_2025_ASC_Addenda.xlsx,503.39,503.39
5. ASC,2025,2025-01-01,NATIONAL,0816T,Opn insj/rplcmt ins ptn subq,January_2025_ASC_Addenda.xlsx,19839.37,19839.37
5. ASC,2025,2025-01-01,NATIONAL,0817T,Opn insj/rplcmt ins ptn subf,January_2025_ASC_Addenda.xlsx,19839.37,19839.37
5. ASC,2025,2025-01-01,NATIONAL,0818T,Revj/rmvl ins ptn subq,January_2025_ASC_Addenda.xlsx,1944.33,1944.33
5. ASC,2025,2025-01-01,NATIONAL,0819T,Revj/rmvl ins ptn subf,January_2025_ASC_Addenda.xlsx,1944.33,1944.33
5. ASC,2025,2025-01-01,NATIONAL,0864T,Low ntsty eswt corpus cvrnsm,January_2025_ASC_Addenda.xlsx,130.7,130.7
5. ASC,2025,2025-01-01,NATIONAL,0867T,Tpla b9 prst8 hyprplsa>=50ml,January_2025_ASC_Addenda.xlsx,2521.6,2521.6
5. ASC,2025,2025-01-01,NATIONAL,0869T,Njx b1 sub mtrl hw fixj aug,January_2025_ASC_Addenda.xlsx,2001.54,2001.54
5. ASC,2025,2025-01-01,NATIONAL,0870T,Imp subq prtl ascts pmp sys,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0871T,Rplcmt subq prtl ascites pmp,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0872T,Rplcmt ndwllg bldr&prtl cath,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0873T,Revj subq prtl asct pmp sys,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0874T,Rmvl pertl ascites pmp sys,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0875T,Prgrm subq prtl asct pmp sys,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0882T,Intraop ther estim pn ue 1st,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0883T,Intraop ther estim pn ue ea,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0884T,Esphgsc flx 1st tndsc dilat,January_2025_ASC_Addenda.xlsx,3427.56,3427.56
5. ASC,2025,2025-01-01,NATIONAL,0885T,Colsc flx 1st tndsc dilat,January_2025_ASC_Addenda.xlsx,3427.56,3427.56
5. ASC,2025,2025-01-01,NATIONAL,0886T,Sgmdsc flx 1st tndsc dilat,January_2025_ASC_Addenda.xlsx,3427.56,3427.56
5. ASC,2025,2025-01-01,NATIONAL,0887T,End-tidal ctrl inhaled anes,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0888T,Histotripsy mal renal tissue,January_2025_ASC_Addenda.xlsx,9394.76,9394.76
5. ASC,2025,2025-01-01,NATIONAL,0913T,Prq tcat ther rx ntrac balo1,January_2025_ASC_Addenda.xlsx,3332.96,3332.96
5. ASC,2025,2025-01-01,NATIONAL,0914T,Prq tcat thr rx ntrc bal sep,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0915T,Insj perm ccm-d sys pg&eltrd,January_2025_ASC_Addenda.xlsx,25124.92,25124.92
5. ASC,2025,2025-01-01,NATIONAL,0916T,Insj perm ccm-d sys pg only,January_2025_ASC_Addenda.xlsx,18813.84,18813.84
5. ASC,2025,2025-01-01,NATIONAL,0917T,Insj perm ccm-d sys 1 lead,January_2025_ASC_Addenda.xlsx,6997.37,6997.37
5. ASC,2025,2025-01-01,NATIONAL,0918T,Insj perm ccm-d sys dual ld,January_2025_ASC_Addenda.xlsx,6997.37,6997.37
5. ASC,2025,2025-01-01,NATIONAL,0919T,Rmvl perm ccm-d sys pg only,January_2025_ASC_Addenda.xlsx,1953.83,1953.83
5. ASC,2025,2025-01-01,NATIONAL,0920T,Rmvl perm ccm-d sys 1 pac ld,January_2025_ASC_Addenda.xlsx,1953.83,1953.83
5. ASC,2025,2025-01-01,NATIONAL,0921T,Rmvl perm ccm-d sys 1 dfb ld,January_2025_ASC_Addenda.xlsx,1953.83,1953.83
5. ASC,2025,2025-01-01,NATIONAL,0922T,Rmvl perm ccm-d sys dual ld,January_2025_ASC_Addenda.xlsx,1953.83,1953.83
5. ASC,2025,2025-01-01,NATIONAL,0923T,Rmvl&rplcmt perm ccm-d pg,January_2025_ASC_Addenda.xlsx,18813.84,18813.84
5. ASC,2025,2025-01-01,NATIONAL,0924T,Rpos prv ccm-d trnsvns eltrd,January_2025_ASC_Addenda.xlsx,332.31,332.31
5. ASC,2025,2025-01-01,NATIONAL,0925T,Rlcj skin pocket ccm-d pg,January_2025_ASC_Addenda.xlsx,981.09,981.09
5. ASC,2025,2025-01-01,NATIONAL,0933T,Tcat impl wrls l atr prs snr,January_2025_ASC_Addenda.xlsx,2098.56,2098.56
5. ASC,2025,2025-01-01,NATIONAL,0946T,Ortho impl mvmt alys pair ct,January_2025_ASC_Addenda.xlsx,56.71,56.71
5. ASC,2025,2025-01-01,NATIONAL,10004,Fna bx w/o img gdn ea addl,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,10005,Fna bx w/us gdn 1st les,January_2025_ASC_Addenda.xlsx,377.6,377.6
5. ASC,2025,2025-01-01,NATIONAL,10006,Fna bx w/us gdn ea addl,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,10007,Fna bx w/fluor gdn 1st les,January_2025_ASC_Addenda.xlsx,228.04,228.04
5. ASC,2025,2025-01-01,NATIONAL,10008,Fna bx w/fluor gdn ea addl,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,10009,Fna bx w/ct gdn 1st les,January_2025_ASC_Addenda.xlsx,377.6,377.6
5. ASC,2025,2025-01-01,NATIONAL,10010,Fna bx w/ct gdn ea addl,January_2025_ASC_Addenda.xlsx,0.0,0.0
