Addendum AA -- ASC Covered Surgical Procedures for CY 2025                                                                                                                            (Including Surgical Procedures for Which Payment is Packaged),,,,,,
CPT codes and descriptions only are copyright 2024 American Medical Association.ÿ All Rights Reserved.ÿ Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2024 American Dental Association.ÿ All Rights Reserved.,,,,,,
,,,,,,
HCPCS Code,,Short Descriptor,Subject to Multiple Procedure Discounting,January 2025 Payment Indicator,January 2025  Payment Weight  ,January 2025 Payment Rate 
0411T,,Insj/rplc car modulj vnt elt,Y,G2,79.544,"$4,366.57"
0412T,,Rmvl cardiac modulj pls gen,N,G2,35.5921,"$1,953.83"
0413T,,Rmvl car modulj tranvns elt,N,G2,35.5921,"$1,953.83"
0414T,,Rmvl & rpl car modulj pls gn,Y,J8,342.7241,"$18,813.84"
0415T,,Repos car modulj tranvns elt,Y,G2,6.0535,$332.31
0416T,,Reloc skin pocket pls gen,Y,G2,17.8722,$981.09
0419T,,Dstrj neurofibroma xtnsv,Y,R2,5.9804,$328.29
0420T,,Dstrj neurofibroma xtnsv,Y,R2,5.9804,$328.29
0421T,,Waterjet prostate abltj cmpl,Y,J8,123.0766,"$6,756.29"
0437T,,Impltj synth rnfcmt abdl wal,N,N1,,
0439T,,Myocrd contrast prfuj echo,N,N1,,
0440T,,Abltj perc uxtr/perph nrv,Y,J8,27.3901,"$1,503.58"
0441T,,Abltj perc lxtr/perph nrv,Y,J8,26.2605,"$1,441.57"
0442T,,Abltj perc plex/trncl nrv,Y,J8,84.282,"$4,626.66"
0443T,,R-t spctrl alys prst8 tiss,N,N1,,
0444T,,1st plmt drug elut oc ins,N,N1,,
0445T,,Sbsqt plmt drug elut oc ins,N,N1,,
0446T,,Insj impltbl glucose sensor,Y,P2,17.8722,$981.09
0447T,,Rmvl impltbl glucose sensor,N,P3,,$49.81
0448T,,Remvl insj impltbl gluc sens,Y,P2,17.8722,$981.09
0449T,,Insj aqueous drain dev 1st,Y,J8,71.0088,"$3,898.03"
0450T,,Insj aqueous drain dev each,N,N1,,
0479T,,Fxjl abl lsr 1st 100 sq cm,Y,G2,5.9804,$328.29
0480T,,Fxjl abl lsr ea addl 100sqcm,N,N1,,
0510T,,Rmvl sinus tarsi implant,N,G2,28.767,"$1,579.16"
0511T,,Rmvl&rinsj sinus tarsi implt,Y,J8,90.9995,"$4,995.42"
0512T,,Esw integ wnd hlg 1st wnd,N,R2,1.945,$106.77
0513T,,Esw integ wnd hlg ea addl,N,N1,,
0523T,,Ntrapx c ffr w/3d funcjl map,N,N1,,
0524T,,Ev cath dir chem abltj w/img,Y,J8,38.7137,"$2,125.19"
0525T,,Insj/rplcmt compl iims,Y,J8,260.4243,"$14,295.99"
0526T,,Insj/rplcmt iims eltrd only,Y,J8,127.4683,"$6,997.37"
0527T,,Insj/rplcmt iims implt mntr,Y,J8,121.2916,"$6,658.30"
0530T,,Removal complete iims,N,G2,35.5921,"$1,953.83"
0531T,,Removal iims electrode only,N,G2,35.5921,"$1,953.83"
0532T,,Removal iims implt mntr only,N,G2,35.5921,"$1,953.83"
0581T,,Abltj mal brst tum perq crtx,Y,J8,40.2671,"$2,210.46"
0583T,,Tmpst auto tube dlvr sys,Y,J8,15.1782,$833.21
0587T,,Perq impltj/rplcmt isdns ptn,Y,J8,108.4922,"$5,955.68"
0588T, *,Revision/removal isdns ptn,Y,R2,35.419,"$1,944.33"
0594T,,Osteot hum xtrnl lngth dev,Y,J8,81.0615,"$4,449.87"
0596T,,Temp fml iu vlv-pmp 1st insj,Y,R2,5.7551,$315.93
0597T,,Temp fml iu valve-pmp rplcmt,Y,R2,5.7551,$315.93
0600T,,Ire abltj 1+tum organ perq,Y,J8,129.7493,"$7,122.59"
0601T,,Ire abltj 1+tumors open,Y,J8,133.0506,"$7,303.81"
0614T,,Rmvl&rplcmt ss impl dfb pg,Y,J8,343.8038,"$18,873.11"
0619T,,Cysto w/prst8 commissurotomy,Y,J8,117.0966,"$6,428.02"
0620T,,Evasc ven artlz tibl/prnl vn,N,J8,577.7298,"$31,714.48"
0621T,,Trabeculostomy interno laser,Y,J8,48.3558,"$2,654.49"
0627T,,Perq njx algc fluor lmbr 1st,Y,J8,205.606,"$11,286.74"
0628T,,Perq njx algc fluor lmbr ea,N,N1,,
0629T,,Perq njx algc ct lmbr 1st,Y,J8,215.2287,"$11,814.98"
0630T,,Perq njx algc ct lmbr ea,N,N1,,
0632T,,Perq tcat us abltj nrv p-art,Y,J8,224.1414,"$12,304.24"
0644T,,Tcat rmvl/dblk icar mas perq,Y,J8,71.738,"$3,938.06"
0647T,,Insj gtube perq mag gastrpxy,Y,G2,15.7418,$864.15
0651T,,Mag ctrld capsule endoscopy,Y,J8,12.7232,$698.44
0652T,,Egd flx transnasal dx br/wa,Y,G2,15.7418,$864.15
0653T,,Egd flx transnasal bx 1/mlt,Y,G2,15.7418,$864.15
0654T,,Egd flx transnasal tube/cath,Y,G2,34.1709,"$1,875.81"
0655T,,Tprnl focal abltj mal prst8,Y,G2,45.935,"$2,521.60"
0660T,,Implt ant sgm io nbio rx sys,Y,G2,38.1516,"$2,094.33"
0661T,,Rmvl&rimpltj ant sgm implt,Y,G2,38.1516,"$2,094.33"
0671T,,Insj ant sgm aq drg dev 1+,Y,J8,74.8136,"$4,106.89"
0673T,,Abltj b9 thyr ndul perq lasr,Y,G2,12.9024,$708.28
0674T,,Laps insj nw/rpcmt prm isdss,Y,J8,477.5898,"$26,217.29"
0675T,,Laps insj nw/rpcmt isdss 1ld,Y,J8,154.502,"$8,481.39"
0676T,,Laps insj nw/rpcmt isdss ea,N,N1,,
0677T,,Laps repos lead isdss 1st ld,Y,J8,113.0433,"$6,205.51"
0678T,,Laps repos lead isdss ea add,N,N1,,
0679T,,Laps rmvl lead isdss,Y,G2,89.1884,"$4,896.00"
0680T,,Insj/rplcmt pg only isdss,Y,J8,361.4058,"$19,839.37"
0681T,,Rlcj pulse gen only isdss,Y,G2,35.419,"$1,944.33"
0682T,,Removal pulse gen only isdss,Y,G2,35.419,"$1,944.33"
0686T,,Histotripsy mal hepatcel tis,N,G2,171.1406,"$9,394.76"
0699T,,Njx pst chmbr eye medication,Y,G2,22.1206,"$1,214.31"
0707T,,Njx b1 sub mtrl sbchdrl dfct,Y,J8,41.6512,"$2,286.44"
0714T,,Tpla b9 prst8 hyprplsa<50ml,Y,G2,45.935,"$2,521.60"
0717T,,Adrc ther prtl rc tear,Y,G2,35.6558,"$1,957.33"
0718T,,Adrc ther prtl rc tear njx,Y,G2,35.6558,"$1,957.33"
0737T,,Xenograft impltj artclr surf,Y,J8,170.1277,"$9,339.16"
0784T,,Ins/rplmt eltrd ra spi nstim,Y,J8,154.502,"$8,481.39"
0785T,,Revj/rmvl nea spi w/nstim,Y,G2,35.419,"$1,944.33"
0787T,,Revj/rmvl nea sac w/nstim,Y,G2,35.419,"$1,944.33"
0793T,,Prq tcat thrm ablt nrv p-art,Y,J8,224.1414,"$12,304.24"
0797T,,Tcat ins 2chmbr ldls pm rv,Y,J8,244.3073,"$13,411.25"
0800T,,Tcat rmvl 2chmbr ldls pm rv,Y,J8,36.6813,"$2,013.62"
0803T,,Tcat rmv&rpl2chmb ldls pm rv,Y,J8,244.3073,"$13,411.25"
0810T,,Subrta njx rx agt w/vtrc,Y,G2,41.5664,"$2,281.79"
0813T,,Egd vol adjmt bariatric balo,Y,G2,9.17,$503.39
0816T,,Opn insj/rplcmt ins ptn subq,Y,J8,361.4058,"$19,839.37"
0817T,,Opn insj/rplcmt ins ptn subf,Y,J8,361.4058,"$19,839.37"
0818T,,Revj/rmvl ins ptn subq,Y,G2,35.419,"$1,944.33"
0819T,,Revj/rmvl ins ptn subf,Y,G2,35.419,"$1,944.33"
0864T, *,Low ntsty eswt corpus cvrnsm,Y,R2,2.3809,$130.70
0867T,,Tpla b9 prst8 hyprplsa>=50ml,Y,G2,45.935,"$2,521.60"
0869T,,Njx b1 sub mtrl hw fixj aug,Y,J8,36.4612,"$2,001.54"
0884T,,Esphgsc flx 1st tndsc dilat,Y,J8,62.4385,"$3,427.56"
0885T,,Colsc flx 1st tndsc dilat,Y,J8,62.4385,"$3,427.56"
0886T,,Sgmdsc flx 1st tndsc dilat,Y,J8,62.4385,"$3,427.56"
0888T,,Histotripsy mal renal tissue,N,G2,171.1406,"$9,394.76"
0913T,,Prq tcat ther rx ntrac balo1,Y,J8,60.7152,"$3,332.96"
0914T,,Prq tcat thr rx ntrc bal sep,N,N1,,
0915T,,Insj perm ccm-d sys pg&eltrd,Y,J8,457.6905,"$25,124.92"
0916T,,Insj perm ccm-d sys pg only,Y,J8,342.7241,"$18,813.84"
0917T,,Insj perm ccm-d sys 1 lead,Y,J8,127.4683,"$6,997.37"
0918T,,Insj perm ccm-d sys dual ld,Y,J8,127.4683,"$6,997.37"
0919T,,Rmvl perm ccm-d sys pg only,N,G2,35.5921,"$1,953.83"
0920T,,Rmvl perm ccm-d sys 1 pac ld,N,G2,35.5921,"$1,953.83"
0921T,,Rmvl perm ccm-d sys 1 dfb ld,N,G2,35.5921,"$1,953.83"
0922T,,Rmvl perm ccm-d sys dual ld,N,G2,35.5921,"$1,953.83"
0923T,,Rmvl&rplcmt perm ccm-d pg,Y,J8,342.7241,"$18,813.84"
0924T,,Rpos prv ccm-d trnsvns eltrd,Y,G2,6.0535,$332.31
0925T,,Rlcj skin pocket ccm-d pg,Y,G2,17.8722,$981.09
0933T,,Tcat impl wrls l atr prs snr,Y,J8,38.2286,"$2,098.56"
10004,,Fna bx w/o img gdn ea addl,N,N1,,
10005,,Fna bx w/us gdn 1st les,Y,G2,6.8786,$377.60
10006,,Fna bx w/us gdn ea addl,N,N1,,
10007,,Fna bx w/fluor gdn 1st les,Y,P3,,$228.04
10008,,Fna bx w/fluor gdn ea addl,N,N1,,
10009,,Fna bx w/ct gdn 1st les,Y,G2,6.8786,$377.60
10010,,Fna bx w/ct gdn ea addl,N,N1,,
10011,,Fna bx w/mr gdn 1st les,Y,R2,6.8786,$377.60
10012,,Fna bx w/mr gdn ea addl,N,N1,,
10021,,Fna bx w/o img gdn 1st les,Y,P3,,$59.52
10030,,Img gid flu coll drg sft tis,Y,G2,6.8786,$377.60
10035,,Plmt sft tiss loclzj dev 1st,Y,N1,,
10036,,Plmt sft tiss loclzj dev ea,N,N1,,
10040,,Acne surgery,N,N1,,
10060,,I&d abscess simple/single,Y,P3,,$80.54
10061,,I&d abscess comp/multiple,Y,P3,,$119.36
10080,,I&d pilonidal cyst simple,Y,P3,,$192.46
10081,,I&d pilonidal cyst comp,Y,P3,,$231.60
10120,,Inc&rmvl fb subq tiss smpl,Y,P3,,$102.86
10121,,Inc&rmvl fb subq tiss comp,Y,A2,12.9024,$708.28
10140,,I&d hmtma seroma/fluid collj,Y,P3,,$106.74
10160,,Pnxr aspir absc hmtma bulla,Y,P3,,$80.87
10180,,I&d complex po wound infctj,Y,A2,21.8945,"$1,201.90"
11000,,Dbrdmt ecz/infected skin<10%,Y,P3,,$36.23
11001,,Dbrdmt ecz/infct skn ea addl,N,N1,,
11010,,Debride skin at fx site,Y,A2,6.8786,$377.60
11011,,Debride skin musc at fx site,Y,A2,6.8786,$377.60
11012,,Deb skin bone at fx site,Y,A2,21.8945,"$1,201.90"
11042,,Dbrdmt subq tis 1st 20sqcm/<,Y,A2,3.9054,$214.39
11043,,Dbrdmt musc&/fsca 1st 20/<,Y,A2,5.9804,$328.29
11044,,Dbrdmt bone 1st 20 sq cm/<,Y,A2,12.9024,$708.28
11045,,Dbrdmt subq tiss each addl,N,N1,,
11046,,Dbrdmt musc&/fsca ea addl,N,N1,,
11047,,Dbrdmt bone each addl,N,N1,,
11055,,Paring/cutg b9 hyprker les 1,N,N1,,
11056,,Parng/cutg b9 hyprkr les 2-4,N,N1,,
11057,,Parng/cutg b9 hyprkr les >4,Y,P3,,$63.72
11102,,Tangntl bx skin single les,Y,P3,,$72.46
11103,,Tangntl bx skin ea sep/addl,N,N1,,
11104,,Punch bx skin single lesion,Y,P3,,$89.28
11105,,Punch bx skin ea sep/addl,N,N1,,
11106,,Incal bx skn single les,Y,P3,,$111.60
11107,,Incal bx skn ea sep/addl,N,N1,,
11200,,Rmvl skin tags up to&inc 15,N,N1,,
11201,,Rmvl skin tags ea addl 10,N,N1,,
11300,,Shave skin lesion 0.5 cm/<,N,N1,,
11301,,Shave skin lesion 0.6-1.0 cm,N,N1,,
11302,,Shave skin lesion 1.1-2.0 cm,N,N1,,
11303,,Shave skin lesion >2.0 cm,N,N1,,
11305,,Shave skin lesion 0.5 cm/<,N,N1,,
11306,,Shave skin lesion 0.6-1.0 cm,N,N1,,
11307,,Shave skin lesion 1.1-2.0 cm,Y,P3,,$89.28
11308,,Shave skin lesion >2.0 cm,N,N1,,
11310,,Shave skin lesion 0.5 cm/<,Y,P3,,$81.84
11311,,Shave skin lesion 0.6-1.0 cm,Y,P3,,$91.86
11312,,Shave skin lesion 1.1-2.0 cm,Y,P3,,$102.86
11313,,Shave skin lesion >2.0 cm,Y,P3,,$114.18
11400,,Exc tr-ext b9+marg 0.5 cm<,Y,P3,,$90.89
11401,,Exc tr-ext b9+marg 0.6-1 cm,Y,P3,,$104.48
11402,,Exc tr-ext b9+marg 1.1-2 cm,Y,P3,,$114.18
11403,,Exc tr-ext b9+marg 2.1-3cm,Y,P3,,$124.53
11404,,Exc tr-ext b9+marg 3.1-4 cm,Y,A2,12.9024,$708.28
11406,,Exc tr-ext b9+marg >4.0 cm,Y,A2,12.9024,$708.28
11420,,Exc h-f-nk-sp b9+marg 0.5/<,Y,P3,,$85.72
11421,,Exc h-f-nk-sp b9+marg 0.6-1,Y,P3,,$101.89
11422,,Exc h-f-nk-sp b9+marg 1.1-2,Y,P3,,$113.21
11423,,Exc h-f-nk-sp b9+marg 2.1-3,Y,P3,,$125.18
11424,,Exc h-f-nk-sp b9+marg 3.1-4,Y,A2,12.9024,$708.28
11426,,Exc h-f-nk-sp b9+marg >4 cm,Y,A2,21.8945,"$1,201.90"
11440,,Exc face-mm b9+marg 0.5 cm/<,Y,P3,,$100.27
11441,,Exc face-mm b9+marg 0.6-1 cm,Y,P3,,$112.89
11442,,Exc face-mm b9+marg 1.1-2 cm,Y,P3,,$123.24
11443,,Exc face-mm b9+marg 2.1-3 cm,Y,P3,,$136.18
11444,,Exc face-mm b9+marg 3.1-4 cm,Y,A2,12.9024,$708.28
11446,,Exc face-mm b9+marg >4 cm,Y,A2,21.8945,"$1,201.90"
11450,,Exc skn hdrdnt ax smpl/ntrm,Y,A2,21.8945,"$1,201.90"
11451,,Exc skn hdrdnt ax complex,Y,A2,21.8945,"$1,201.90"
11462,,Exc skn hdrdnt ing smpl/ntrm,Y,A2,21.8945,"$1,201.90"
11463,,Exc skn hdrdnt ing complex,Y,A2,21.8945,"$1,201.90"
11470,,Exc skn h/p/p/u smpl/ntrm,Y,A2,21.8945,"$1,201.90"
11471,,Exc skn h/p/p/u complex,Y,A2,21.8945,"$1,201.90"
11600,,Exc tr-ext mal+marg 0.5 cm/<,Y,P3,,$131.65
11601,,Exc tr-ext mal+marg 0.6-1 cm,Y,P3,,$146.53
11602,,Exc tr-ext mal+marg 1.1-2 cm,Y,P3,,$156.23
11603,,Exc tr-ext mal+marg 2.1-3 cm,Y,P3,,$168.85
11604,,Exc tr-ext mal+marg 3.1-4 cm,Y,A2,6.8786,$377.60
11606,,Exc tr-ext mal+marg >4 cm,Y,A2,12.9024,$708.28
11620,,Exc h-f-nk-sp mal+marg 0.5/<,Y,P3,,$131.65
11621,,Exc s/n/h/f/g mal+mrg 0.6-1,Y,P3,,$146.85
11622,,Exc s/n/h/f/g mal+mrg 1.1-2,Y,P3,,$158.50
11623,,Exc s/n/h/f/g mal+mrg 2.1-3,Y,P3,,$174.02
11624,,Exc s/n/h/f/g mal+mrg 3.1-4,Y,A2,12.9024,$708.28
11626,,Exc s/n/h/f/g mal+mrg >4 cm,Y,A2,21.8945,"$1,201.90"
11640,,Exc f/e/e/n/l mal+mrg 0.5cm<,Y,P3,,$136.18
11641,,Exc f/e/e/n/l mal+mrg 0.6-1,Y,P3,,$150.73
11642,,Exc f/e/e/n/l mal+mrg 1.1-2,Y,P3,,$164.97
11643,,Exc f/e/e/n/l mal+mrg 2.1-3,Y,P3,,$180.82
11644,,Exc f/e/e/n/l mal+mrg 3.1-4,Y,A2,12.9024,$708.28
11646,,Exc f/e/e/n/l mal+mrg >4 cm,Y,A2,21.8945,"$1,201.90"
11719,,Trim nail(s) any number,N,N1,,
11720,,Debride nail 1-5,N,N1,,
11721,,Debride nail 6 or more,N,N1,,
11730,,Removal of nail plate,N,N1,,
11732,,Remove nail plate add-on,N,N1,,
11740,,Drain blood from under nail,N,N1,,
11750,,Removal of nail bed,Y,P3,,$99.95
11755,,Biopsy nail unit,Y,P3,,$74.07
11760,,Repair of nail bed,Y,P3,,$120.33
11762,,Reconstruction of nail bed,Y,P3,,$174.67
11765,,Excision of nail fold toe,N,N1,,
11770,,Remove pilonidal cyst simple,Y,A2,21.8945,"$1,201.90"
11771,,Remove pilonidal cyst exten,Y,A2,21.8945,"$1,201.90"
11772,,Remove pilonidal cyst compl,Y,A2,21.8945,"$1,201.90"
11900,,Inject skin lesions </w 7,N,N1,,
11901,,Inject skin lesions >7,N,N1,,
11920,,Correct skin color 6.0 cm/<,Y,P3,,$132.94
11921,,Correct skn color 6.1-20.0cm,Y,P3,,$139.74
11922,,Correct skin color ea 20.0cm,N,N1,,
11950,,Tx contour defects 1 cc/<,Y,P3,,$48.20
11951,,Tx contour defects 1.1-5.0cc,Y,P3,,$61.46
11952,,Tx contour defects 5.1-10cc,Y,P3,,$78.28
11954,,Tx contour defects >10.0 cc,Y,P3,,$86.69
11960,,Insert tissue expander(s),Y,A2,35.6558,"$1,957.33"
11970,,Rplcmt tiss xpndr perm implt,Y,G2,63.9555,"$3,510.84"
11971,,Rmvl tis xpndr wo insj implt,N,A2,21.8945,"$1,201.90"
11976,,Remove contraceptive capsule,N,P3,,$73.10
11980,,Implant hormone pellet(s),N,N1,,
11981,,Insertion drug dlvr implant,N,N1,,
11982,,Remove drug implant device,N,N1,,
11983,,Remove/insert drug implant,N,N1,,
12001,,Rpr s/n/ax/gen/trnk 2.5cm/<,N,N1,,
12002,,Rpr s/n/ax/gen/trnk2.6-7.5cm,N,N1,,
12004,,Rpr s/n/ax/gen/trk7.6-12.5cm,N,N1,,
12005,,Rpr s/n/a/gen/trk12.6-20.0cm,N,A2,3.9054,$214.39
12006,,Rpr s/n/a/gen/trk20.1-30.0cm,N,A2,3.9054,$214.39
12007,,Rpr s/n/ax/gen/trnk >30.0 cm,Y,A2,1.945,$106.77
12011,,Rpr f/e/e/n/l/m 2.5 cm/<,N,N1,,
12013,,Rpr f/e/e/n/l/m 2.6-5.0 cm,N,N1,,
12014,,Rpr f/e/e/n/l/m 5.1-7.5 cm,N,N1,,
12015,,Rpr f/e/e/n/l/m 7.6-12.5 cm,N,G2,1.945,$106.77
12016,,Rpr fe/e/en/l/m 12.6-20.0 cm,N,A2,3.9054,$214.39
12017,,Rpr fe/e/en/l/m 20.1-30.0 cm,N,A2,3.9054,$214.39
12018,,Rpr f/e/e/n/l/m >30.0 cm,N,A2,1.945,$106.77
12020,,Tx supfc wnd dehsn smpl clsr,Y,A2,5.9804,$328.29
12021,,Tx supfc wnd dehsn w/packing,Y,A2,3.9054,$214.39
12031,,Intmd rpr s/a/t/ext 2.5 cm/<,Y,P3,,$180.49
12032,,Intmd rpr s/a/t/ext 2.6-7.5,Y,P3,,$203.14
12034,,Intmd rpr s/tr/ext 7.6-12.5,Y,A2,3.9054,$214.39
12035,,Intmd rpr s/a/t/ext 12.6-20,Y,A2,3.9054,$214.39
12036,,Intmd rpr s/a/t/ext 20.1-30,Y,A2,5.9804,$328.29
12037,,Intmd rpr s/tr/ext >30.0 cm,Y,A2,17.8722,$981.09
12041,,Intmd rpr n-hf/genit 2.5cm/<,N,P3,,$177.58
12042,,Intmd rpr n-hf/genit2.6-7.5,Y,P3,,$198.61
12044,,Intmd rpr n-hf/genit7.6-12.5,Y,A2,5.9804,$328.29
12045,,Intmd rpr n-hf/genit12.6-20,Y,A2,5.9804,$328.29
12046,,Intmd rpr n-hf/genit20.1-30,Y,A2,5.9804,$328.29
12047,,Intmd rpr n-hf/genit >30.0cm,Y,A2,17.8722,$981.09
12051,,Intmd rpr face/mm 2.5 cm/<,Y,P3,,$187.93
12052,,Intmd rpr face/mm 2.6-5.0 cm,Y,P3,,$200.55
12053,,Intmd rpr face/mm 5.1-7.5 cm,Y,P2,3.9054,$214.39
12054,,Intmd rpr face/mm 7.6-12.5cm,N,A2,3.9054,$214.39
12055,,Intmd rpr face/mm 12.6-20 cm,Y,A2,3.9054,$214.39
12056,,Intmd rpr face/mm 20.1-30.0,N,A2,3.9054,$214.39
12057,,Intmd rpr face/mm >30.0 cm,Y,A2,3.9054,$214.39
13100,,Cmplx rpr trunk 1.1-2.5 cm,Y,A2,5.9804,$328.29
13101,,Cmplx rpr trunk 2.6-7.5 cm,Y,A2,5.9804,$328.29
13102,,Cmplx rpr trunk addl 5cm/<,N,N1,,
13120,,Cmplx rpr s/a/l 1.1-2.5 cm,Y,A2,5.9804,$328.29
13121,,Cmplx rpr s/a/l 2.6-7.5 cm,Y,A2,5.9804,$328.29
13122,,Cmplx rpr s/a/l addl 5 cm/>,N,N1,,
13131,,Cmplx rpr f/c/c/m/n/ax/g/h/f,Y,A2,3.9054,$214.39
13132,,Cmplx rpr f/c/c/m/n/ax/g/h/f,Y,A2,5.9804,$328.29
13133,,Cmplx rpr f/c/c/m/n/ax/g/h/f,N,N1,,
13151,,Cmplx rpr e/n/e/l 1.1-2.5 cm,Y,A2,5.9804,$328.29
13152,,Cmplx rpr e/n/e/l 2.6-7.5 cm,Y,A2,5.9804,$328.29
13153,,Cmplx rpr e/n/e/l addl 5cm/<,N,N1,,
13160,,Sec clsr surg wnd/dehsn xtn,Y,A2,17.8722,$981.09
14000,,Tis trnfr trunk 10 sq cm/<,Y,A2,17.8722,$981.09
14001,,Tis trnfr trunk 10.1-30sqcm,Y,A2,17.8722,$981.09
14020,,Tis trnfr s/a/l 10 sq cm/<,Y,A2,17.8722,$981.09
14021,,Tis trnfr s/a/l 10.1-30 sqcm,Y,A2,17.8722,$981.09
14040,,Tis trnfr f/c/c/m/n/a/g/h/f,Y,A2,17.8722,$981.09
14041,,Tis trnfr f/c/c/m/n/a/g/h/f,Y,A2,17.8722,$981.09
14060,,Tis trnfr e/n/e/l 10 sq cm/<,Y,A2,17.8722,$981.09
14061,,Tis trnfr e/n/e/l10.1-30sqcm,Y,A2,17.8722,$981.09
14301,,Tis trnfr any 30.1-60 sq cm,Y,G2,35.6558,"$1,957.33"
14302,,Tis trnfr addl 30 sq cm,N,N1,,
14350,,Filleted finger/toe flap,Y,A2,17.8722,$981.09
15002,,Wound prep trk/arm/leg,Y,A2,17.8722,$981.09
15003,,Wound prep addl 100 cm,N,N1,,
15004,,Wound prep f/n/hf/g,Y,A2,5.9804,$328.29
15005,,Wnd prep f/n/hf/g addl cm,N,N1,,
15011,,Hrv skn cll ssp agrft 1st 25,Y,G2,17.8722,$981.09
15012,,Hrv skn cll ssp agrft ea add,N,N1,,
15013, *,Prepj skn cll ssp agrft 1st,Y,R2,61.1248,"$3,355.45"
15014,,Prepj skn cll ssp agrft ea,N,N1,,
15015,,App skn cl ssp agrft t/a/l 1,Y,G2,17.8722,$981.09
15016,,App skn cl ssp agrf t/a/l ea,N,N1,,
15017,,App skn cll ssp f/n/g/hf 1st,Y,G2,17.8722,$981.09
15018,,App skn cll ssp f/n/g/hf ea,N,N1,,
15040,,Harvest cultured skin graft,Y,A2,17.8722,$981.09
15050,,Pinch graft up to 2 cm diam,Y,A2,5.9804,$328.29
15100,,Splt agrft t/a/l 1st 100sqcm,Y,A2,17.8722,$981.09
15101,,Splt agrft t/a/l ea addl 100,N,N1,,
15110,,Epidrm agrft t/a/l 1st 100,Y,A2,17.8722,$981.09
15111,,Epidrm agrft t/a/l ea addl,N,N1,,
15115,,Epdrm agrft f/s/n/h/f/g/m 1,Y,A2,17.8722,$981.09
15116,,Epdrm agrft f/s/n/h/f/g/m ea,N,N1,,
15120,,Splt agrft f/s/n/h/f/g/m 1st,Y,A2,35.6558,"$1,957.33"
