"Durable Medical Equipment,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*** Non-continental areas ***,,,,
"Prosthetics, Orthotics, and Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Not subject to ceiling and floor),,,,
(DMEPOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2025 Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCPCS,Mod,Mod2,JURIS,CATG,Ceiling,Floor,AL (NR),AL (R),AR (NR),AR (R),AZ (NR),AZ (R),CA (NR),CA (R),CO (NR),CO (R),CT (NR),CT (R),DC (NR),DC (R),DE (NR),DE (R),FL (NR),FL (R),GA (NR),GA (R),IA (NR),IA (R),ID (NR),ID (R),IL (NR),IL (R),IN (NR),IN (R),KS (NR),KS (R),KY (NR),KY (R),LA (NR),LA (R),MA (NR),MA (R),MD (NR),MD (R),ME (NR),ME (R),MI (NR),MI (R),MN (NR),MN (R),MO (NR),MO (R),MS (NR),MS (R),MT (NR),MT (R),NC (NR),NC (R),ND (NR),ND (R),NE (NR),NE (R),NH (NR),NH (R),NJ (NR),NJ (R),NM (NR),NM (R),NV (NR),NV (R),NY (NR),NY (R),OH (NR),OH (R),OK (NR),OK (R),OR (NR),OR (R),PA (NR),PA (R),RI (NR),RI (R),SC (NR),SC (R),SD (NR),SD (R),TN (NR),TN (R),TX (NR),TX (R),UT (NR),UT (R),VA (NR),VA (R),VT (NR),VT (R),WA (NR),WA (R),WI (NR),WI (R),WV (NR),WV (R),WY (NR),WY (R),AK (NR),AK (R),HI (NR),HI (R),PR (NR),PR (R),VI (NR),VI (R),Description
A4236,NU,,D,IN,0.00,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,Silvr oxide batt glucose mon
A4238,KF,,D,SU,0.00,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,275.21,0.00,Adju cgm supply allowance
A4239,,,D,SU,267.92,227.73,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,267.92,0.00,Non-adju cgm supply allow
A4239,KF,,D,SU,311.74,264.98,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,311.74,0.00,Non-adju cgm supply allow
A4253,NU,,D,IN,0.00,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,Blood glucose/reagent strips
A4255,,,D,SU,5.74,4.88,5.74,0.00,5.74,0.00,5.74,0.00,5.74,0.00,5.74,0.00,5.47,0.00,5.47,0.00,5.47,0.00,5.47,0.00,5.64,0.00,5.74,0.00,5.74,0.00,5.47,0.00,5.74,0.00,5.74,0.00,5.74,0.00,5.74,0.00,5.47,0.00,5.47,0.00,5.47,0.00,5.64,0.00,5.74,0.00,5.74,0.00,5.74,0.00,5.74,0.00,5.59,0.00,5.74,0.00,5.74,0.00,5.47,0.00,5.47,0.00,5.74,0.00,5.74,0.00,5.47,0.00,5.47,0.00,5.74,0.00,5.74,0.00,5.47,0.00,5.47,0.00,5.74,0.00,5.74,0.00,5.74,0.00,5.47,0.00,5.74,0.00,5.47,0.00,5.47,0.00,5.74,0.00,5.74,0.00,5.47,0.00,5.74,0.00,5.90,0.00,6.34,0.00,5.99,0.00,5.74,0.00,Glucose monitor platforms
A4256,,,D,SU,0.00,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,Calibrator solution/chips
A4257,,,D,SU,17.83,15.16,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,17.83,0.00,21.40,0.00,17.83,0.00,Replace lensshield cartridge
A4258,,,D,SU,0.00,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,Lancet device each
A4259,,,D,SU,0.00,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,Lancets per box
A4265,,,J,SU,4.76,4.05,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,4.76,0.00,5.64,0.00,4.76,0.00,Paraffin
A4271,,,D,SU,33.43,28.42,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,33.43,0.00,Home lancing/test cartridges
A4280,,,D,PO,8.90,6.67,7.46,0.00,7.46,0.00,7.24,0.00,7.24,0.00,7.49,0.00,7.62,0.00,7.24,0.00,7.24,0.00,7.46,0.00,7.46,0.00,7.37,0.00,7.24,0.00,7.44,0.00,7.44,0.00,7.37,0.00,7.46,0.00,7.46,0.00,7.62,0.00,7.24,0.00,7.62,0.00,7.44,0.00,7.44,0.00,7.37,0.00,7.46,0.00,7.49,0.00,7.46,0.00,7.49,0.00,7.37,0.00,7.62,0.00,7.37,0.00,7.46,0.00,7.24,0.00,7.37,0.00,7.44,0.00,7.46,0.00,7.24,0.00,7.24,0.00,7.62,0.00,7.46,0.00,7.49,0.00,7.46,0.00,7.46,0.00,7.49,0.00,7.24,0.00,7.62,0.00,7.24,0.00,7.44,0.00,7.24,0.00,7.49,0.00,7.31,0.00,7.84,0.00,7.97,0.00,7.97,0.00,Brst prsths adhsv attchmnt
A4310,,,J,OS,10.79,9.17,9.74,0.00,9.47,0.00,10.77,0.00,10.79,0.00,10.79,0.00,10.79,0.00,9.99,0.00,9.99,0.00,9.17,0.00,9.69,0.00,10.79,0.00,9.17,0.00,10.79,0.00,10.79,0.00,10.33,0.00,9.47,0.00,10.70,0.00,10.79,0.00,9.99,0.00,10.79,0.00,10.79,0.00,10.79,0.00,10.79,0.00,9.17,0.00,9.77,0.00,9.17,0.00,10.79,0.00,9.99,0.00,10.79,0.00,9.99,0.00,10.79,0.00,10.79,0.00,10.79,0.00,10.79,0.00,10.79,0.00,9.17,0.00,9.99,0.00,10.79,0.00,9.17,0.00,10.79,0.00,10.28,0.00,9.17,0.00,9.17,0.00,10.79,0.00,10.79,0.00,10.79,0.00,10.79,0.00,10.79,0.00,10.79,0.00,13.19,0.00,14.13,0.00,24.73,0.00,10.79,0.00,Insert tray w/o bag/cath
